POW_SA2_CODE_2021,P_40_44_OM_UIE,P_40_44_CFW,P_40_44_ES_NS,P_40_44_Total,P_45_49_E,P_45_49_OM_IE,P_45_49_OM_UIE,P_45_49_CFW,P_45_49_ES_NS,P_45_49_Total,P_50_54_E,P_50_54_OM_IE,P_50_54_OM_UIE,P_50_54_CFW,P_50_54_ES_NS,P_50_54_Total,P_55_59_E,P_55_59_OM_IE,P_55_59_OM_UIE,P_55_59_CFW,P_55_59_ES_NS,P_55_59_Total,P_60_64_E,P_60_64_OM_IE,P_60_64_OM_UIE,P_60_64_CFW,P_60_64_ES_NS,P_60_64_Total,P_65_69_E,P_65_69_OM_IE,P_65_69_OM_UIE,P_65_69_CFW,P_65_69_ES_NS,P_65_69_Total,P_70_74_E,P_70_74_OM_IE,P_70_74_OM_UIE,P_70_74_CFW,P_70_74_ES_NS,P_70_74_Total,P_75ov_E,P_75ov_OM_IE,P_75ov_OM_UIE,P_75ov_CFW,P_75ov_ES_NS,P_75ov_Total,P_Total_E,P_Total_OM_IE,P_Total_OM_UIE,P_Total_CFW,P_Total_ES_NS,P_Total_Total
215021395,21,5,0,201,169,29,26,10,0,244,175,23,30,13,9,246,124,18,27,24,4,198,127,17,22,18,0,186,44,10,21,14,6,87,14,7,15,11,3,54,0,0,4,9,4,17,1570,176,217,127,41,2129
215021396,12,8,3,126,97,15,11,0,7,133,111,15,19,7,4,150,104,6,23,11,0,147,79,3,9,11,3,110,30,8,12,3,0,58,8,3,4,6,0,26,4,4,6,3,0,14,914,99,120,63,26,1218
215021398,25,14,3,226,144,23,25,10,4,212,169,33,26,13,4,246,156,22,33,7,0,222,135,26,33,33,4,228,46,19,36,16,4,116,11,14,21,14,7,69,0,6,18,10,6,40,1513,191,259,152,47,2155
215021399,22,7,4,159,111,13,12,4,0,143,120,25,20,14,0,182,101,9,24,22,0,158,92,15,29,20,3,169,38,5,15,8,4,71,5,0,10,3,0,20,4,0,0,0,0,4,1165,115,172,96,21,1565
215021469,65,13,11,1181,1156,113,76,8,12,1363,1077,89,81,10,20,1273,1008,106,57,11,8,1202,747,84,68,15,15,930,305,55,34,5,9,408,85,26,15,5,4,133,28,8,7,9,0,56,11044,745,568,115,128,12598
215021470,20,6,4,361,302,29,22,5,7,364,345,32,21,10,8,412,294,16,19,17,7,357,257,24,29,14,5,333,69,21,19,7,0,116,18,11,13,3,0,45,4,7,8,4,0,24,3671,222,208,83,57,4231
215031400,20,8,0,198,167,31,27,18,4,248,191,50,33,31,0,309,196,58,30,25,4,316,166,43,57,39,13,318,90,15,44,26,9,187,20,16,21,24,0,89,3,6,15,29,3,57,1707,292,295,238,54,2593
215031401,28,9,4,183,109,34,36,16,9,204,148,52,42,26,8,281,140,40,45,16,9,250,128,35,52,35,0,250,65,18,39,23,6,154,30,13,19,18,0,83,7,11,21,28,3,64,1313,259,338,201,58,2167
215031402,14,0,3,142,127,6,6,3,3,146,160,18,17,0,6,194,172,26,22,9,6,227,125,17,26,11,3,185,69,11,11,4,4,101,19,3,0,0,0,24,5,3,4,7,0,18,1409,117,125,35,24,1711
215031403,13,3,0,156,78,11,11,12,0,109,101,10,5,7,4,123,83,11,7,13,4,118,83,11,8,9,3,115,40,4,13,5,0,69,16,7,3,3,4,35,0,0,4,4,0,11,1067,126,84,82,33,1392
