POW_SA2_CODE_2021,UIE_IDNS_OMOE_Nil_em,UIE_IDNS_OMOE_1_19_em,UIE_IDNS_OMOE_20mo_em,UIE_IDNS_OMOE_NE_NS,UIE_IDNS_Tot,UIE_Tot_OMOE_Nil_em,UIE_Tot_OMOE_1_19_em,UIE_Tot_OMOE_20mo_em,UIE_Tot_OMOE_NE_NS,UIE_Tot_Tot
107041147,0,0,0,0,3,211,45,0,0,257
107041148,7,0,0,0,11,344,78,9,5,434
107041150,19,4,0,0,18,427,92,3,0,527
107041548,22,9,0,0,25,590,230,22,0,848
107041549,15,0,0,0,17,300,73,4,0,377
108011151,6,0,0,0,6,164,47,0,0,214
108011152,13,7,0,0,17,319,149,10,8,482
108011153,11,0,0,0,14,208,65,0,0,270
108011154,12,0,0,0,11,119,62,5,0,183
108021155,10,5,0,0,10,292,122,6,4,415
108021156,16,0,0,0,20,303,72,0,4,384
108021157,10,0,0,0,10,147,51,4,0,203
108021158,8,5,0,0,14,156,60,0,6,223
108021159,14,0,0,0,14,277,71,0,11,358
108021160,0,0,0,0,0,152,64,0,3,220
108031161,0,0,0,0,0,23,10,0,0,32
108041162,13,3,0,0,14,407,121,0,9,536
108041164,23,6,0,0,27,587,231,7,4,830
108041165,12,0,0,0,7,214,51,0,3,267
108041166,19,9,0,0,26,319,105,3,0,427
108041619,9,0,0,0,15,384,141,16,3,547
108041620,14,0,0,0,16,366,65,4,0,438
108051167,11,0,0,0,7,213,47,0,7,273
108051168,12,0,0,0,16,266,76,3,5,348
108051169,21,3,0,0,28,422,201,0,11,631
108051170,6,0,0,0,9,369,84,0,4,461
108051171,4,0,0,0,4,106,35,0,0,139
109011172,10,7,0,0,21,274,93,3,0,372
109011173,6,4,0,0,8,141,45,0,0,189
109011174,21,4,0,0,29,430,193,16,0,640
109011175,6,0,0,0,9,402,157,4,5,562
109011176,11,0,0,0,19,234,103,0,5,344
109021177,3,4,0,0,8,86,48,0,0,137
109021178,6,0,0,0,3,122,54,4,4,182
