POW_SA2_CODE_2021,Tot_800_999_H_0,Tot_800_999_H_1_19,Tot_800_999_H_20_29,Tot_800_999_H_30_34,Tot_800_999_H_35_39,Tot_800_999_H_40_44,Tot_800_999_H_45_49,Tot_800_999_H_50ov,Tot_800_999_H_NS,Tot_800_999_H_Tot,Tot_1000_1249_H_0,Tot_1000_1249_H_1_19,Tot_1000_1249_H_20_29,Tot_1000_1249_H_30_34,Tot_1000_1249_H_35_39,Tot_1000_1249_H_40_44,Tot_1000_1249_H_45_49,Tot_1000_1249_H_50ov,Tot_1000_1249_H_NS,Tot_1000_1249_H_Tot,Tot_1250_1499_H_0,Tot_1250_1499_H_1_19,Tot_1250_1499_H_20_29,Tot_1250_1499_H_30_34,Tot_1250_1499_H_35_39,Tot_1250_1499_H_40_44,Tot_1250_1499_H_45_49,Tot_1250_1499_H_50ov,Tot_1250_1499_H_NS,Tot_1250_1499_H_Tot,Tot_1500_1749_H_0,Tot_1500_1749_H_1_19,Tot_1500_1749_H_20_29,Tot_1500_1749_H_30_34,Tot_1500_1749_H_35_39,Tot_1500_1749_H_40_44,Tot_1500_1749_H_45_49,Tot_1500_1749_H_50ov,Tot_1500_1749_H_NS,Tot_1500_1749_H_Tot,Tot_1750_1999_H_0,Tot_1750_1999_H_1_19,Tot_1750_1999_H_20_29,Tot_1750_1999_H_30_34,Tot_1750_1999_H_35_39,Tot_1750_1999_H_40_44,Tot_1750_1999_H_45_49,Tot_1750_1999_H_50ov,Tot_1750_1999_H_NS,Tot_1750_1999_H_Tot,Tot_2000_2999_H_0,Tot_2000_2999_H_1_19,Tot_2000_2999_H_20_29,Tot_2000_2999_H_30_34,Tot_2000_2999_H_35_39,Tot_2000_2999_H_40_44,Tot_2000_2999_H_45_49,Tot_2000_2999_H_50ov,Tot_2000_2999_H_NS,Tot_2000_2999_H_Tot,Tot_3000_3499_H_0,Tot_3000_3499_H_1_19,Tot_3000_3499_H_20_29,Tot_3000_3499_H_30_34,Tot_3000_3499_H_35_39,Tot_3000_3499_H_40_44,Tot_3000_3499_H_45_49,Tot_3000_3499_H_50ov,Tot_3000_3499_H_NS,Tot_3000_3499_H_Tot,Tot_3500mo_H_0,Tot_3500mo_H_1_19,Tot_3500mo_H_20_29,Tot_3500mo_H_30_34,Tot_3500mo_H_35_39,Tot_3500mo_H_40_44,Tot_3500mo_H_45_49,Tot_3500mo_H_50ov,Tot_3500mo_H_NS,Tot_3500mo_H_Tot,Tot_PINS_H_0,Tot_PINS_H_1_19,Tot_PINS_H_20_29,Tot_PINS_H_30_34,Tot_PINS_H_35_39,Tot_PINS_H_40_44,Tot_PINS_H_45_49,Tot_PINS_H_50ov,Tot_PINS_H_NS,Tot_PINS_H_Tot,Tot_Tot_H_0,Tot_Tot_H_1_19,Tot_Tot_H_20_29,Tot_Tot_H_30_34,Tot_Tot_H_35_39,Tot_Tot_H_40_44,Tot_Tot_H_45_49,Tot_Tot_H_50ov,Tot_Tot_H_NS,Tot_Tot_H_Tot
101031016,22,145,177,104,144,129,37,54,12,829,16,82,99,78,140,159,75,119,3,767,8,24,29,21,108,100,43,88,7,423,10,28,18,19,71,71,36,92,5,353,3,13,16,20,51,44,29,81,0,267,8,14,28,10,49,69,28,124,0,334,0,3,10,3,13,11,12,32,0,78,0,8,10,7,8,32,7,63,3,145,0,3,7,3,5,8,0,11,19,52,192,992,917,540,778,755,298,767,88,5327
101041017,32,54,87,106,229,152,26,47,14,747,29,40,58,69,270,187,29,60,10,753,19,16,39,31,147,123,33,59,7,464,20,8,23,19,88,83,23,54,3,320,12,8,17,17,47,70,24,43,0,237,22,17,9,21,80,72,31,81,4,329,0,6,0,7,8,9,5,21,0,63,0,0,4,0,10,17,4,43,0,83,0,5,3,0,8,3,0,9,12,50,277,781,625,441,1083,815,209,472,103,4801
101041018,9,17,43,37,32,38,3,9,4,195,5,17,19,26,57,45,7,21,8,202,8,17,7,14,31,26,4,15,0,128,0,9,13,8,17,25,5,14,0,99,4,3,8,4,20,16,12,18,0,78,4,8,3,8,20,23,12,29,0,112,0,0,6,0,0,10,0,3,0,25,0,0,4,0,0,8,4,6,0,30,0,0,0,0,0,0,0,0,3,15,67,270,214,155,222,229,42,133,36,1379
101041019,30,79,124,92,191,145,27,38,12,738,38,49,111,92,259,205,49,71,20,915,36,24,58,78,177,165,55,47,9,650,35,13,29,46,138,124,43,60,7,495,14,10,18,13,93,108,40,51,5,354,27,13,11,17,123,131,52,126,0,492,3,0,6,5,17,15,11,26,0,80,0,4,5,13,9,22,4,52,0,108,0,4,8,0,0,7,3,6,15,45,304,844,794,507,1153,1047,284,526,120,5573
101041020,10,18,38,22,27,49,6,38,3,214,7,14,17,30,27,28,10,54,3,191,0,6,7,9,25,21,10,28,0,107,3,10,6,11,15,17,5,32,0,91,4,7,12,6,8,16,8,17,0,68,5,8,8,11,12,20,9,19,0,84,0,0,0,0,0,5,0,6,0,15,0,3,0,0,0,4,0,10,0,25,3,5,3,0,3,4,0,3,7,27,74,319,232,150,167,242,79,356,44,1667
101041021,4,15,22,25,21,19,0,0,4,120,0,9,11,21,27,23,3,14,0,115,0,6,7,9,27,20,0,10,0,80,4,5,10,10,17,25,12,11,0,86,0,3,4,0,10,13,6,10,0,50,4,5,0,7,17,21,13,19,0,88,0,0,7,0,0,6,0,5,0,20,0,0,0,0,0,0,0,3,0,8,0,6,0,0,0,0,0,0,4,15,49,191,147,127,153,157,35,79,18,953
101041022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101041023,5,19,27,26,51,28,7,17,3,182,15,12,14,19,60,45,9,37,5,205,4,0,6,9,32,20,13,26,5,131,3,5,4,6,28,19,3,24,0,94,4,3,3,6,14,28,8,20,0,86,9,0,5,3,13,21,17,34,0,99,0,0,0,0,0,6,5,11,0,18,0,0,0,0,3,0,0,4,0,7,0,3,0,0,3,0,0,5,9,24,83,244,198,116,252,203,64,192,37,1385
101041024,12,27,10,19,29,21,3,8,0,128,9,7,11,15,24,37,3,10,6,121,6,7,5,3,13,11,3,14,0,58,5,3,6,0,15,9,5,13,4,54,0,4,0,0,10,5,0,10,0,37,0,0,4,0,5,6,0,20,0,37,0,0,3,0,0,8,0,9,0,19,0,3,0,0,0,4,0,11,0,25,0,4,0,0,0,0,0,3,3,11,55,171,120,66,122,138,31,130,26,851
101041025,15,54,113,96,141,111,20,44,6,591,15,40,52,65,175,137,37,58,4,579,9,32,24,27,81,71,19,47,0,327,6,11,19,14,49,66,15,58,8,251,4,14,10,14,31,41,10,46,0,170,6,12,11,9,47,68,24,57,4,237,0,5,0,4,6,3,3,10,0,31,3,4,0,3,21,17,12,22,0,84,0,6,3,0,9,7,0,0,0,27,185,872,634,411,687,643,166,405,71,4075
101041026,23,47,84,76,155,103,6,33,9,531,27,33,73,76,172,139,31,41,3,595,24,18,31,49,128,92,27,42,3,425,19,21,25,20,100,72,23,53,5,331,8,7,9,16,53,53,22,33,3,212,13,10,16,9,62,74,14,52,9,254,0,3,4,0,10,11,6,14,0,54,0,3,0,5,9,16,6,30,4,77,0,5,0,0,8,6,0,0,12,38,203,661,516,375,855,658,158,325,74,3830
101041027,9,34,61,53,117,54,19,27,11,391,14,41,45,32,93,87,17,28,13,358,14,18,26,18,52,45,13,32,3,217,15,20,11,18,47,49,11,27,6,201,11,7,15,8,25,24,18,20,0,129,7,8,0,3,29,29,16,49,0,147,0,0,0,0,6,8,4,9,0,17,0,5,0,9,11,10,0,14,0,50,0,5,0,3,0,10,0,6,13,43,141,641,478,273,526,406,119,262,92,2933
101051539,58,113,206,188,486,290,54,82,13,1497,63,68,118,159,537,450,104,158,21,1667,62,37,81,83,358,321,102,155,17,1222,45,28,60,66,309,255,89,157,18,1027,43,24,24,32,220,176,56,142,8,722,44,20,28,29,295,289,110,263,0,1082,4,5,8,9,26,35,13,55,3,148,4,4,10,9,12,54,25,91,0,213,3,3,5,9,15,8,7,8,34,93,535,1518,1360,889,2653,2113,604,1210,204,11081
101051540,17,49,53,39,100,85,23,70,5,448,16,37,57,39,109,124,31,125,7,540,10,23,39,31,66,76,22,99,8,361,16,14,20,14,54,80,26,128,6,354,10,10,15,7,40,67,27,103,6,283,14,21,10,15,51,76,38,174,5,410,6,6,4,0,0,19,12,48,0,106,4,12,11,5,0,32,9,60,8,144,0,0,3,8,5,3,0,10,13,38,166,600,430,248,554,725,233,999,79,4037
101061541,6,28,36,42,83,54,13,25,8,300,7,19,43,29,98,93,23,43,3,358,4,8,12,26,53,58,23,41,4,232,7,11,7,11,39,58,26,41,0,197,6,3,8,10,31,41,13,35,0,149,8,10,11,7,40,47,19,83,0,226,0,0,0,5,6,4,5,17,0,31,4,0,0,0,8,8,10,19,0,57,0,0,0,0,3,3,0,3,10,20,123,461,332,185,452,415,131,342,46,2487
101061542,18,31,41,23,47,49,16,43,5,260,17,29,37,28,59,92,24,62,0,351,8,17,27,14,43,58,16,46,7,234,0,20,17,19,34,54,22,69,0,243,10,9,10,11,19,39,17,49,0,164,9,19,13,12,22,52,21,75,0,230,0,5,10,4,3,14,4,25,0,63,4,18,3,3,9,35,4,45,0,118,0,8,0,0,4,6,0,7,4,36,122,516,342,187,313,489,142,540,36,2698
101061543,27,41,64,83,256,177,36,51,14,751,26,37,45,70,214,193,59,99,6,746,18,20,28,27,105,126,43,63,0,425,16,15,17,20,88,82,30,72,3,334,7,3,0,9,51,69,24,50,4,225,21,18,13,8,53,80,46,96,0,326,3,3,3,6,3,11,0,27,0,61,0,10,3,3,7,22,10,39,0,97,0,8,5,3,8,9,5,0,22,66,207,695,548,395,987,924,284,598,112,4755
101061544,12,24,26,30,63,83,22,48,9,321,7,20,28,38,63,89,16,68,4,340,8,14,22,15,42,60,23,53,0,240,5,14,12,14,31,46,29,68,8,212,8,7,6,5,17,15,22,45,0,124,5,8,10,9,22,45,20,86,4,196,3,7,7,0,3,6,7,33,0,60,6,4,0,3,3,16,8,36,3,83,7,0,3,0,8,5,6,14,14,43,98,316,266,185,335,461,157,583,60,2461
102011028,21,31,21,17,25,9,0,14,0,134,13,24,16,22,21,31,4,8,0,137,10,20,21,11,16,18,3,8,0,106,6,11,14,11,19,30,7,3,0,100,7,12,8,9,6,16,5,15,0,77,9,10,3,10,20,31,7,26,0,117,0,0,0,0,0,12,0,12,0,29,0,6,0,4,0,22,8,22,0,61,0,3,0,0,5,0,0,3,0,18,175,339,173,95,135,189,40,124,15,1293
102011029,29,28,29,22,33,28,5,6,0,179,20,30,31,19,31,28,5,10,0,177,12,26,14,18,31,36,8,21,0,162,6,12,18,10,23,29,8,13,5,127,6,9,8,10,9,28,3,25,3,104,4,17,10,8,21,57,16,27,0,166,4,6,3,0,4,7,3,6,0,36,5,3,7,5,3,19,7,25,0,61,4,0,0,4,0,0,0,0,3,16,197,354,222,117,183,286,61,154,22,1601
102011030,63,74,87,70,381,250,40,54,13,1029,67,37,70,57,349,314,81,120,15,1108,38,41,40,37,226,245,77,114,9,829,22,21,27,27,147,164,50,133,7,590,23,14,15,10,93,120,48,136,3,466,12,23,16,20,110,180,62,197,3,632,3,7,0,0,19,30,16,49,0,131,0,15,9,7,13,33,24,97,0,195,9,4,4,7,7,6,0,10,25,75,406,518,486,349,1540,1478,437,995,117,6329
102011031,172,178,203,178,326,157,26,34,18,1299,118,141,177,126,359,228,38,62,17,1259,61,61,73,65,242,170,42,71,4,789,31,44,46,61,163,165,47,68,7,631,27,20,28,37,116,132,31,80,3,476,24,29,31,30,133,233,85,173,5,750,8,10,11,9,23,49,10,48,0,171,14,21,13,21,25,71,27,90,8,294,8,7,9,5,9,9,3,7,33,90,1476,2028,1460,821,1666,1331,322,663,159,9930
102011032,248,341,462,336,603,355,65,57,33,2504,213,251,411,372,915,683,115,125,39,3124,140,151,249,270,769,620,141,184,20,2533,139,112,154,199,583,564,132,179,17,2070,102,62,90,123,496,536,111,203,18,1728,105,82,100,101,602,779,204,405,19,2407,9,18,15,19,53,122,38,81,0,345,16,29,30,42,50,182,61,236,5,653,14,13,12,7,22,28,6,14,60,173,1845,2876,2622,1846,4521,4142,904,1562,307,20629
102011033,11,35,29,16,24,17,0,0,0,148,10,23,24,24,54,24,13,10,3,187,15,17,18,20,39,31,16,7,0,167,13,8,13,12,44,55,17,14,0,170,4,5,9,4,30,34,18,18,0,120,11,6,7,0,42,61,22,30,4,173,3,0,3,0,0,6,0,5,0,21,0,0,0,0,5,3,0,4,0,19,0,0,0,0,0,0,0,0,6,5,120,243,184,105,259,268,89,95,13,1384
102011034,26,41,47,41,63,26,3,8,9,267,23,32,36,38,87,59,3,23,3,293,14,10,19,17,68,65,16,17,4,236,14,13,13,16,46,39,23,20,0,183,13,9,9,4,17,29,16,36,4,142,4,13,7,11,24,50,20,41,0,171,0,3,0,0,4,6,0,9,0,33,0,0,0,3,6,11,6,10,0,42,4,3,0,3,0,4,0,0,13,24,217,674,338,205,368,334,100,173,43,2445
102011035,5,22,17,22,16,7,3,3,0,106,15,18,20,19,34,20,0,11,0,132,9,11,16,17,27,23,0,11,0,107,3,0,10,6,10,10,7,13,4,72,4,6,3,4,15,21,9,10,0,69,6,4,8,11,11,35,12,38,0,123,0,0,0,0,0,4,0,5,0,4,0,0,0,0,0,5,0,9,0,11,0,0,0,0,0,0,0,0,7,10,77,169,136,92,144,128,38,104,15,900
102011036,31,43,67,62,171,84,24,21,7,517,26,35,38,34,143,134,34,53,5,502,16,15,17,19,96,88,21,24,6,306,16,19,11,11,36,73,18,41,0,223,9,5,8,3,23,57,12,40,3,166,12,8,16,0,21,75,30,77,0,241,0,0,0,0,6,10,3,18,0,38,0,0,3,4,8,18,11,19,0,61,0,4,0,0,3,5,0,5,4,27,247,534,398,252,638,605,177,316,48,3209
102011037,13,25,31,18,18,17,0,11,0,140,7,16,32,11,27,13,6,9,0,126,4,5,5,8,28,15,4,10,0,93,9,9,5,6,14,25,10,7,0,91,8,3,3,0,17,18,3,5,0,63,5,3,4,3,22,24,8,24,0,92,0,0,3,0,3,11,0,7,0,24,0,0,0,0,4,12,0,9,0,33,0,0,5,0,0,0,0,0,0,9,86,197,168,86,154,155,43,94,13,998
102011038,22,19,19,12,12,18,3,5,0,105,15,25,10,8,16,14,8,7,0,99,8,9,9,6,14,13,0,7,0,72,3,3,8,6,11,13,3,8,0,58,0,5,0,0,16,10,10,7,0,49,11,5,4,5,18,24,8,25,0,93,0,0,0,6,7,3,3,3,0,22,0,0,0,0,0,17,0,11,0,29,0,0,0,0,5,0,0,0,0,9,125,173,97,62,105,143,41,78,0,825
102011039,64,80,53,46,63,51,4,18,3,382,47,82,66,48,85,61,13,28,7,436,37,37,39,21,40,63,9,32,4,273,23,33,17,17,44,56,9,26,3,222,8,18,14,13,29,52,9,37,0,167,20,22,19,23,36,86,37,60,0,303,5,6,9,3,11,15,7,24,0,78,6,16,9,10,5,37,17,48,0,150,8,10,3,0,4,6,0,6,10,39,576,783,395,233,379,482,108,296,50,3303
102011040,79,79,101,69,86,65,4,20,14,508,60,54,70,52,103,78,17,26,3,458,23,37,37,34,76,62,14,30,3,320,26,30,33,22,64,49,16,35,6,278,13,18,16,12,44,56,18,29,3,201,16,17,22,13,46,82,27,74,4,302,0,4,7,4,9,16,3,14,3,57,0,7,4,4,11,39,11,40,0,125,6,6,6,0,5,5,0,0,8,32,588,895,610,343,546,529,121,292,79,4012
102011041,23,38,34,23,36,39,3,9,6,210,27,49,21,29,46,37,10,12,0,233,16,21,24,20,38,47,9,14,0,182,12,11,24,13,30,38,0,18,0,146,6,8,10,12,25,38,7,18,4,125,9,14,10,6,16,61,16,43,0,174,0,4,8,5,8,13,3,12,0,45,0,10,5,7,3,18,10,34,0,82,0,4,0,3,0,7,0,6,4,19,208,409,257,176,252,329,69,165,24,1880
102011042,34,73,86,80,106,69,17,23,11,510,47,51,80,61,157,98,29,45,9,573,15,24,40,40,103,101,23,37,5,387,18,18,23,30,67,53,21,23,3,257,13,10,18,20,58,75,16,32,4,234,16,8,18,12,55,80,25,55,0,270,0,3,0,7,3,13,0,20,0,61,6,3,5,3,9,23,5,32,0,92,4,9,8,3,12,3,0,3,4,48,431,893,652,388,666,587,157,299,64,4138
102011043,30,45,62,61,87,37,5,7,3,340,23,32,44,45,103,60,12,16,5,342,8,25,22,24,67,35,14,19,0,216,9,8,21,19,35,27,13,17,0,145,5,3,9,14,13,35,6,13,0,107,7,8,14,14,31,39,15,35,0,151,0,7,0,0,11,8,0,3,0,28,4,4,5,7,6,6,3,12,0,46,4,4,3,0,5,0,0,3,6,30,231,621,418,249,440,289,79,145,37,2505
102021044,72,95,108,74,147,90,13,23,15,635,58,73,56,55,164,111,28,37,0,598,26,33,35,63,92,86,28,23,11,384,21,20,29,29,70,86,21,44,4,334,19,20,16,18,45,49,18,35,0,219,21,9,12,16,50,73,28,47,3,253,3,4,4,0,8,14,3,12,0,44,0,4,10,5,4,20,13,27,0,83,5,5,0,4,0,0,4,0,7,23,529,1085,709,403,724,595,172,273,66,4555
102021045,30,27,33,22,27,19,0,9,5,168,28,27,21,29,50,38,0,13,0,195,12,12,8,15,40,25,5,6,0,135,13,9,10,0,20,18,13,21,0,106,0,8,10,3,19,17,3,13,0,69,3,0,3,4,12,36,18,40,0,115,3,0,0,0,0,0,0,6,0,15,0,5,0,0,0,5,4,3,0,12,3,0,0,0,0,0,0,0,8,19,212,248,173,116,197,177,51,115,22,1308
102021046,21,18,16,11,33,7,8,0,7,131,13,14,23,23,22,28,10,9,0,132,7,11,8,7,12,19,3,5,0,68,8,11,7,8,20,12,3,4,0,73,0,4,4,4,10,13,0,13,0,49,5,0,3,0,4,20,3,19,0,60,0,0,0,0,0,3,0,4,0,13,0,0,0,0,3,4,3,3,0,14,0,0,0,0,6,0,0,0,3,14,161,251,169,85,146,120,33,79,15,1065
102021047,67,78,110,63,204,124,20,38,15,715,68,54,57,63,256,225,45,45,12,825,35,42,44,37,140,189,37,69,4,594,34,20,31,22,116,137,46,83,0,499,14,15,20,15,71,107,56,76,5,383,17,14,21,22,96,152,58,116,5,502,4,5,9,4,14,21,11,33,0,99,3,3,11,10,29,44,12,68,3,180,3,3,8,0,0,3,0,0,20,46,532,802,619,346,1063,1100,300,551,90,5412
102021048,103,56,87,100,168,70,4,10,8,606,57,44,55,72,176,97,31,43,3,577,25,28,23,36,100,85,20,30,3,353,23,11,12,20,70,65,21,24,4,256,5,3,4,17,49,43,15,22,0,165,13,11,9,19,44,51,13,61,3,216,0,0,3,0,3,10,4,11,0,34,0,7,3,6,5,16,5,8,5,55,15,12,0,6,5,6,0,0,15,55,657,1004,616,443,756,522,125,237,73,4421
102021049,8,20,20,11,12,23,0,7,5,110,10,7,12,10,20,30,4,15,4,112,10,8,9,12,22,20,9,11,0,94,0,14,9,5,26,21,0,14,0,85,0,4,0,4,9,14,3,11,0,41,5,6,4,4,3,23,3,20,0,62,0,0,4,0,9,10,0,0,0,30,0,11,3,0,0,4,0,6,0,26,5,5,0,0,0,3,0,6,0,12,130,153,112,73,133,166,28,99,21,912
102021050,23,26,36,26,52,30,8,15,7,213,8,14,26,24,47,37,4,15,0,178,6,9,10,5,50,44,8,22,5,170,14,10,16,14,41,23,11,22,3,140,9,6,7,16,61,36,0,18,0,147,10,7,9,5,75,64,24,40,0,235,3,0,0,5,24,14,7,14,0,70,8,0,9,0,35,15,15,17,0,90,0,0,0,3,0,0,0,5,3,14,181,300,253,148,429,286,89,171,26,1873
102021051,34,41,34,36,91,62,9,13,3,314,16,34,35,23,87,63,12,15,4,289,14,19,14,8,69,51,11,17,3,198,8,10,13,17,50,52,13,23,0,185,6,8,6,17,42,43,7,33,3,164,8,4,4,11,66,80,35,44,0,251,0,0,0,0,3,18,5,14,0,45,6,3,7,4,3,16,4,25,0,71,0,4,0,4,6,3,0,0,12,25,169,285,236,144,481,424,100,206,34,2078
102021052,14,19,7,6,21,18,0,4,0,94,9,15,13,10,22,14,0,12,0,92,4,4,6,4,16,13,0,5,0,58,5,4,4,3,7,12,0,4,0,41,6,4,0,3,12,11,0,3,0,46,0,3,0,0,9,15,0,8,0,39,0,0,0,0,3,0,0,8,0,7,0,0,0,0,3,0,0,0,0,11,0,0,0,0,5,0,0,0,3,12,71,134,81,46,118,95,12,66,9,633
