POW_SA2_CODE_2021,P_M3_Trn_and_2_oth_Ms_15_24,P_M3_Trn_and_2_oth_Ms_25_34,P_M3_Trn_and_2_oth_Ms_35_44,P_M3_Trn_and_2_oth_Ms_45_54,P_M3_Trn_and_2_oth_Ms_55_64,P_M3_Trn_and_2_oth_Ms_65_74,P_M3_Trn_and_2_oth_Ms_75ov,P_M3_Trn_and_2_oth_Ms_Tot,P_M3_Bus2othMs_ex_tn_15_24,P_M3_Bus2othMs_ex_tn_25_34,P_M3_Bus2othMs_ex_tn_35_44,P_M3_Bus2othMs_ex_tn_45_54,P_M3_Bus2othMs_ex_tn_55_64,P_M3_Bus2othMs_ex_tn_65_74,P_M3_Bus2othMs_ex_tn_75ov,P_M3_Bus2othMs_ex_tn_Tot,P_M3_Other_M3_15_24,P_M3_Other_M3_25_34,P_M3_Other_M3_35_44,P_M3_Other_M3_45_54,P_M3_Other_M3_55_64,P_M3_Other_M3_65_74,P_M3_Other_M3_75ov,P_M3_Other_M3_Tot,P_M3_Tot_M3_15_24,P_M3_Tot_M3_25_34,P_M3_Tot_M3_35_44,P_M3_Tot_M3_45_54,P_M3_Tot_M3_55_64,P_M3_Tot_M3_65_74,P_M3_Tot_M3_75ov,P_M3_Tot_M3_Tot,P_Wkd_at_home_15_24,P_Wkd_at_home_25_34,P_Wkd_at_home_35_44,P_Wkd_at_home_45_54,P_Wkd_at_home_55_64,P_Wkd_at_home_65_74,P_Wkd_at_home_75ov,P_Wkd_at_home_Tot,P_Did_not_go_to_work_15_24,P_Did_not_go_to_work_25_34,P_Did_not_go_to_work_35_44,P_Did_not_go_to_work_45_54,P_Did_not_go_to_work_55_64,P_Did_not_go_to_work_65_74,P_Did_not_go_to_work_75ov,P_Did_not_go_to_work_Tot,P_MT_NS_15_24,P_MT_NS_25_34,P_MT_NS_35_44,P_MT_NS_45_54,P_MT_NS_55_64,P_MT_NS_65_74,P_MT_NS_75ov,P_MT_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75ov,P_Tot_Tot
507021165,19,20,14,5,5,6,0,70,8,0,4,0,0,0,0,9,23,21,11,6,5,0,0,59,42,42,22,16,15,6,0,143,37,178,303,347,285,127,30,1308,604,516,489,356,386,145,23,2511,21,22,13,4,7,8,0,77,2687,3977,4054,3887,3136,937,121,18789
507021166,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,4,0,0,8,0,0,20,9,4,0,0,8,0,0,23,5,59,103,118,110,58,15,467,176,100,94,79,63,25,5,534,0,3,5,0,5,0,0,16,853,858,889,940,757,265,31,4589
507021167,0,5,4,0,3,0,0,7,0,0,0,0,0,0,0,0,8,7,3,0,0,0,0,22,10,9,4,0,4,0,0,29,0,14,15,17,23,11,0,85,116,72,65,54,50,24,4,388,5,0,0,3,0,0,0,17,769,1028,951,875,714,217,31,4586
507031169,5,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,6,8,3,4,4,0,0,0,17,0,41,68,33,13,6,0,166,44,42,32,29,10,3,0,162,5,8,0,0,0,0,0,5,246,377,406,298,158,26,4,1520
507031170,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,6,0,6,0,3,3,0,0,9,4,12,18,24,10,3,3,69,27,26,33,21,21,15,0,143,0,0,6,0,0,0,0,12,191,248,272,290,253,74,3,1319
507031172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,3,0,4,0,0,0,0,3,0,0,4,7,6,5,0,20,43,28,28,22,21,6,0,147,0,0,0,0,0,0,0,0,237,302,298,320,230,50,4,1432
507031173,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,6,4,3,3,0,0,18,9,10,6,4,3,0,0,25,0,25,49,55,20,5,0,158,65,175,186,210,195,43,4,880,0,14,7,4,7,3,0,34,738,1874,2197,2198,1633,293,19,8958
507031174,0,4,3,0,0,0,0,8,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,9,11,5,3,0,0,0,0,17,3,16,39,15,12,4,0,96,91,64,60,41,17,8,0,289,5,4,0,3,0,0,0,10,490,472,506,406,271,64,5,2219
507031261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,3,3,0,0,0,0,0,3,5,29,36,48,36,25,0,181,11,43,55,74,62,16,0,252,0,0,0,0,0,0,6,5,167,370,483,553,393,121,6,2088
507041175,0,12,0,0,0,0,0,14,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,18,4,13,3,8,6,0,0,35,21,65,136,132,97,83,24,551,183,122,132,111,90,23,6,670,5,8,10,5,0,0,0,21,848,1040,1200,1086,769,271,52,5265
