POW_SA2_CODE_2021,Tot_HC_SA_Bf_91,Tot_HC_SA_91_95,Tot_HC_SA_96_00,Tot_HC_SA_01_05,Tot_HC_SA_06_10,Tot_HC_SA_11_15,Tot_HC_SA_16_20,Tot_HC_SA_2021,Tot_HC_SA_NS,Tot_HC_SA_Tot,Tot_ArtsR_Bf_91,Tot_ArtsR_91_95,Tot_ArtsR_96_00,Tot_ArtsR_01_05,Tot_ArtsR_06_10,Tot_ArtsR_11_15,Tot_ArtsR_16_20,Tot_ArtsR_2021,Tot_ArtsR_NS,Tot_ArtsR_Tot,Tot_OthSvs_Bf_91,Tot_OthSvs_91_95,Tot_OthSvs_96_00,Tot_OthSvs_01_05,Tot_OthSvs_06_10,Tot_OthSvs_11_15,Tot_OthSvs_16_20,Tot_OthSvs_2021,Tot_OthSvs_NS,Tot_OthSvs_Tot,Tot_IDNS_Bf_91,Tot_IDNS_91_95,Tot_IDNS_96_00,Tot_IDNS_01_05,Tot_IDNS_06_10,Tot_IDNS_11_15,Tot_IDNS_16_20,Tot_IDNS_2021,Tot_IDNS_NS,Tot_IDNS_Tot,Tot_Tot_Bf_91,Tot_Tot_91_95,Tot_Tot_96_00,Tot_Tot_01_05,Tot_Tot_06_10,Tot_Tot_11_15,Tot_Tot_16_20,Tot_Tot_2021,Tot_Tot_NS,Tot_Tot_Tot
507051192,40,4,9,16,45,32,14,0,6,168,0,0,0,0,0,0,0,0,0,3,4,3,0,4,11,8,0,0,0,26,0,6,0,0,7,0,4,0,0,18,144,30,29,50,152,115,52,0,9,569
507051193,21,3,7,3,27,30,14,0,0,108,0,0,0,0,5,0,0,0,0,9,8,0,4,5,5,5,0,0,0,34,4,0,3,4,3,4,0,0,0,22,166,33,50,67,201,173,57,4,7,751
507051312,21,5,10,10,36,36,19,0,0,140,3,0,0,0,3,5,0,0,0,18,16,3,5,5,31,16,11,0,0,75,4,0,0,5,11,11,7,0,0,42,193,40,37,101,355,284,156,5,4,1176
507051313,14,6,7,12,31,42,15,0,3,136,0,0,0,0,0,0,0,0,0,0,12,5,0,8,13,11,0,0,0,51,3,0,0,0,6,13,4,0,0,35,197,37,59,106,232,210,70,0,21,929
507051314,0,0,0,0,0,3,4,0,0,11,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,13,4,0,0,0,0,0,0,0,0,11,33,8,4,13,29,30,8,0,4,136
509011225,280,48,48,88,177,136,73,4,13,870,12,3,0,3,6,0,0,0,0,27,32,3,0,4,22,12,8,0,0,86,22,0,4,5,15,10,6,0,0,61,871,121,146,202,455,331,221,9,37,2394
509011226,5,0,4,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,14,124,15,14,17,25,16,12,0,11,227
509011227,0,0,5,0,0,5,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,3,47,3,4,10,15,17,5,0,3,109
509011228,30,0,0,8,4,3,5,0,0,58,3,0,0,0,0,0,0,0,0,9,6,0,0,6,3,0,0,0,0,18,10,0,0,0,0,5,0,0,4,20,264,21,34,50,52,36,42,0,21,515
509011229,4,0,0,0,0,9,4,0,0,17,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,8,52,7,12,10,45,41,42,0,3,220
