POW_SA2_CODE_2021,Tot_65_69_HW_0,Tot_65_69_HW_1_19,Tot_65_69_HW_20_29,Tot_65_69_HW_30_34,Tot_65_69_HW_35_39,Tot_65_69_HW_40_44,Tot_65_69_HW_45_49,Tot_65_69_HW_50mor,Tot_65_69_HW_NS,Tot_65_69_Tot,Tot_70_74_HW_0,Tot_70_74_HW_1_19,Tot_70_74_HW_20_29,Tot_70_74_HW_30_34,Tot_70_74_HW_35_39,Tot_70_74_HW_40_44,Tot_70_74_HW_45_49,Tot_70_74_HW_50mor,Tot_70_74_HW_NS,Tot_70_74_Tot,Tot_75ov_HW_0,Tot_75ov_HW_1_19,Tot_75ov_HW_20_29,Tot_75ov_HW_30_34,Tot_75ov_HW_35_39,Tot_75ov_HW_40_44,Tot_75ov_HW_45_49,Tot_75ov_HW_50mor,Tot_75ov_HW_NS,Tot_75ov_Tot,Tot_Tot_HW_0,Tot_Tot_HW_1_19,Tot_Tot_HW_20_29,Tot_Tot_HW_30_34,Tot_Tot_HW_35_39,Tot_Tot_HW_40_44,Tot_Tot_HW_45_49,Tot_Tot_HW_50mor,Tot_Tot_HW_NS,Tot_Tot_Tot
101041022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101041023,16,17,19,0,9,12,4,13,3,90,3,16,0,0,0,5,0,5,0,28,0,9,0,0,5,0,0,3,0,20,83,244,198,116,252,203,64,192,37,1385
101041024,3,16,13,8,8,15,4,10,0,72,0,9,5,3,4,4,0,4,0,30,0,7,3,0,0,5,0,4,0,22,55,171,120,66,122,138,31,130,26,851
101041025,14,59,37,21,11,23,7,14,0,189,5,33,19,4,5,13,0,3,0,88,0,24,9,0,3,7,0,8,0,49,185,872,634,411,687,643,166,405,71,4075
101041026,15,62,36,22,32,16,4,14,4,206,3,28,12,3,5,12,0,0,6,68,0,10,0,0,0,8,0,0,8,22,203,661,516,375,855,658,158,325,74,3830
101041027,16,63,38,24,24,19,0,21,4,213,0,36,15,4,4,3,0,7,0,78,4,19,9,0,0,4,0,0,4,42,141,641,478,273,526,406,119,262,92,2933
101051539,27,113,67,24,62,42,11,45,3,401,7,49,26,6,10,18,5,7,7,141,0,22,4,6,5,9,0,3,11,64,535,1518,1360,889,2653,2113,604,1210,204,11081
101051540,14,64,32,20,15,35,11,63,9,261,6,41,29,16,12,37,6,44,4,198,10,31,28,16,10,22,10,31,4,158,166,600,430,248,554,725,233,999,79,4037
101061541,8,26,20,0,12,12,3,5,4,96,5,13,9,0,0,9,0,3,0,36,0,14,4,3,0,5,0,0,0,19,123,461,332,185,452,415,131,342,46,2487
101061542,11,46,30,15,14,37,7,50,5,199,8,36,28,11,11,14,6,29,3,149,10,38,20,14,5,17,3,25,0,131,122,516,342,187,313,489,142,540,36,2698
101061543,12,34,30,14,16,35,4,31,0,181,6,26,8,4,12,10,0,18,4,85,0,9,3,7,0,11,0,6,7,52,207,695,548,395,987,924,284,598,112,4755
101061544,9,27,22,26,20,31,3,50,0,187,0,22,16,11,9,11,5,21,0,97,4,16,17,7,9,11,6,25,7,93,98,316,266,185,335,461,157,583,60,2461
102011028,10,12,6,6,6,4,0,3,0,45,5,10,3,0,0,5,0,0,0,28,0,8,6,0,0,0,0,0,0,16,175,339,173,95,135,189,40,124,15,1293
102011029,10,33,21,7,0,7,3,4,0,79,0,13,7,4,0,6,0,7,0,42,0,10,9,0,4,9,0,0,0,35,197,354,222,117,183,286,61,154,22,1601
102011030,18,35,21,15,36,31,11,36,9,213,5,17,9,3,4,7,0,12,4,65,5,10,10,8,3,3,3,13,3,54,406,518,486,349,1540,1478,437,995,117,6329
102011031,51,74,49,31,47,29,9,16,0,295,13,43,16,12,9,9,6,9,0,119,4,20,7,3,0,3,0,0,8,52,1476,2028,1460,821,1666,1331,322,663,159,9930
102011032,84,165,107,62,104,106,24,40,7,699,22,76,38,18,24,20,0,13,4,223,15,41,21,5,12,14,0,0,9,110,1845,2876,2622,1846,4521,4142,904,1562,307,20629
102011033,15,12,5,0,8,9,0,0,0,52,7,8,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,4,120,243,184,105,259,268,89,95,13,1384
102011034,8,31,10,7,19,7,0,7,0,89,4,14,11,4,3,0,0,0,0,33,0,7,3,0,0,0,0,0,0,13,217,674,338,205,368,334,100,173,43,2445
102011035,5,19,3,0,4,3,0,0,0,39,3,7,0,0,0,0,0,0,0,17,0,5,3,0,0,0,0,0,0,10,77,169,136,92,144,128,38,104,15,900
102011036,11,19,8,5,20,9,7,4,0,88,0,7,11,0,0,0,0,3,0,30,0,3,0,0,0,0,0,0,3,5,247,534,398,252,638,605,177,316,48,3209
102011037,4,13,8,6,0,5,0,0,0,50,0,10,4,0,3,3,0,0,0,21,0,3,3,0,0,0,0,0,0,15,86,197,168,86,154,155,43,94,13,998
102011038,6,10,13,5,0,5,0,0,0,36,0,6,0,0,3,0,0,4,0,15,0,0,0,0,0,0,0,0,0,6,125,173,97,62,105,143,41,78,0,825
102011039,23,41,18,8,7,10,0,9,0,114,6,21,6,0,0,6,0,4,0,41,0,14,8,0,0,0,0,7,0,30,576,783,395,233,379,482,108,296,50,3303
102011040,19,51,30,12,22,20,3,13,0,169,11,21,19,8,3,0,5,0,4,64,4,12,12,5,4,9,0,3,0,45,588,895,610,343,546,529,121,292,79,4012
102011041,6,21,14,5,7,5,0,4,0,52,0,8,9,0,4,4,0,0,0,26,0,7,0,0,0,0,0,0,0,9,208,409,257,176,252,329,69,165,24,1880
102011042,11,43,22,22,13,19,0,9,0,142,8,13,7,3,3,9,0,0,0,39,0,9,6,0,0,0,0,6,0,22,431,893,652,388,666,587,157,299,64,4138
102011043,4,32,19,16,12,9,9,4,0,109,9,16,8,5,5,3,0,3,0,42,0,9,3,0,0,0,0,4,0,21,231,621,418,249,440,289,79,145,37,2505
102021044,26,46,30,24,26,26,0,14,0,194,12,19,11,4,7,4,4,0,0,56,3,3,10,0,0,0,0,0,0,15,529,1085,709,403,724,595,172,273,66,4555
102021045,4,8,8,0,3,5,0,3,4,34,0,4,4,0,0,0,0,0,0,15,0,0,4,0,0,0,0,0,0,4,212,248,173,116,197,177,51,115,22,1308
102021046,6,19,7,5,0,0,0,3,0,33,0,8,4,0,0,0,0,0,0,16,0,4,0,0,0,0,0,0,0,6,161,251,169,85,146,120,33,79,15,1065
102021047,14,41,26,7,39,8,8,14,3,155,6,14,10,4,8,3,0,7,0,54,0,9,5,0,0,4,0,0,0,22,532,802,619,346,1063,1100,300,551,90,5412
102021048,16,40,26,12,13,14,4,8,4,137,5,15,0,0,0,4,0,6,0,26,4,0,0,0,5,0,0,0,0,20,657,1004,616,443,756,522,125,237,73,4421
102021049,3,4,11,0,3,7,3,0,0,37,0,6,4,4,4,3,0,6,0,27,0,3,0,5,3,8,0,0,3,16,130,153,112,73,133,166,28,99,21,912
102021050,5,24,7,7,9,5,3,3,0,61,0,3,8,0,3,0,0,0,0,19,0,7,0,0,4,0,0,0,0,14,181,300,253,148,429,286,89,171,26,1873
102021051,4,27,13,3,11,10,0,9,3,81,0,9,4,3,0,8,0,6,0,35,0,11,0,0,0,0,0,0,3,14,169,285,236,144,481,424,100,206,34,2078
102021052,0,12,0,0,5,0,0,0,0,16,3,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,4,71,134,81,46,118,95,12,66,9,633
102021053,20,41,18,8,20,11,7,12,0,138,12,21,9,6,6,6,0,4,0,61,15,13,0,0,0,4,0,3,0,33,530,761,408,224,519,434,130,235,65,3313
102021054,9,27,18,4,4,12,0,9,0,72,3,8,0,0,0,0,0,4,0,23,0,3,0,0,0,0,0,0,0,15,350,409,337,187,380,300,92,164,46,2261
102021055,44,53,44,11,44,29,10,25,0,266,3,21,7,6,6,8,6,7,0,69,0,7,6,4,0,5,0,0,0,26,1419,1461,1148,725,2241,1711,415,784,164,10063
102021056,29,32,30,26,37,33,9,19,3,221,8,23,8,5,8,5,3,7,0,70,0,10,4,3,3,0,0,0,0,23,706,897,889,777,1611,1500,366,704,133,7577
102021057,17,32,22,11,47,14,6,14,0,163,9,17,5,3,8,5,4,4,0,58,8,12,4,0,6,0,0,0,6,28,531,880,623,410,1613,924,305,510,121,5926
103011059,6,22,23,12,14,17,9,14,0,130,5,11,9,4,3,7,3,8,0,47,0,10,9,0,0,3,0,5,0,28,175,433,430,284,848,817,307,661,57,4014
103011060,8,19,11,12,11,14,5,25,0,112,6,15,16,12,4,14,0,20,0,82,10,17,15,4,6,9,3,11,0,70,58,210,126,110,157,239,65,278,28,1262
103011061,5,20,14,10,27,34,14,35,0,146,6,21,12,3,6,8,0,21,0,73,0,13,10,4,5,3,0,9,7,55,97,229,196,105,432,395,167,526,59,2206
103011612,22,102,67,24,70,43,21,30,3,388,9,45,23,13,14,10,4,7,4,132,4,22,15,3,0,3,4,0,3,55,537,1922,1467,903,2815,1892,592,1093,176,11397
103011613,6,27,20,13,10,15,5,20,3,109,0,15,4,7,4,6,0,8,0,34,0,9,5,0,0,0,0,0,0,14,127,332,295,270,603,692,229,385,42,2975
103021062,9,21,12,18,19,28,5,38,4,165,0,13,16,3,9,10,6,22,0,89,4,14,14,9,5,13,3,12,8,75,94,322,272,188,312,496,182,672,57,2602
103021063,12,40,22,17,35,28,6,25,5,186,5,24,11,5,6,11,4,5,5,70,3,20,3,3,3,0,0,6,10,51,184,580,516,356,855,711,219,492,77,3983
103021064,8,29,14,16,11,26,4,35,0,137,0,17,10,6,3,5,4,17,0,68,8,19,8,3,5,20,3,18,5,77,57,245,204,132,207,317,102,441,37,1739
103021065,5,35,24,28,29,33,13,49,7,212,4,18,11,5,10,16,3,25,4,94,4,23,13,13,0,6,0,19,3,82,147,522,437,362,783,821,259,760,96,4195
103021066,7,10,20,14,0,19,4,17,5,89,8,8,5,8,3,7,3,10,0,52,0,15,9,3,0,0,3,12,0,44,55,166,153,98,137,221,77,275,17,1198
103021067,11,32,26,10,21,26,10,19,0,152,0,11,11,6,12,4,0,13,0,59,3,5,4,3,3,8,0,0,0,35,179,583,509,355,989,747,270,631,59,4315
103021068,3,12,7,9,4,16,11,27,0,85,3,9,9,5,0,3,5,14,0,56,0,3,4,4,0,11,3,8,3,42,50,119,126,83,156,305,180,501,36,1552
103021069,4,22,15,10,17,14,4,35,4,134,0,9,12,12,10,8,0,15,4,67,6,14,5,9,3,5,0,6,7,55,112,312,253,192,356,408,145,844,67,2688
103031070,17,35,23,18,34,25,4,15,8,182,6,27,10,8,8,8,0,5,0,72,0,9,7,0,10,8,0,0,3,42,297,799,678,420,1166,978,254,449,92,5138
103031071,0,24,16,3,6,26,7,12,4,110,3,16,6,7,4,12,0,0,3,55,0,15,12,9,0,3,5,10,0,50,172,276,257,149,461,631,224,441,51,2661
103031072,13,55,33,15,34,33,6,20,5,213,5,36,10,12,5,13,0,8,4,80,7,15,7,0,4,10,0,5,4,58,322,986,866,522,1191,1095,309,763,119,6173
103031073,0,4,13,6,5,10,3,12,0,60,0,7,8,9,0,0,0,13,0,39,0,10,12,0,0,4,0,7,0,44,31,153,141,90,107,156,49,159,21,908
103031074,10,28,26,3,19,28,6,47,4,177,5,15,25,10,6,12,10,24,3,105,3,21,10,10,3,11,0,20,6,82,232,390,358,206,504,857,420,1308,119,4378
103031075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103041076,13,30,24,15,16,24,9,37,0,166,4,16,8,8,0,10,0,21,0,71,3,13,10,5,5,7,3,13,4,59,127,347,279,148,430,497,273,875,55,3032
103041077,29,120,86,44,81,66,23,56,9,513,10,78,43,19,22,22,3,22,4,223,3,32,14,8,4,4,3,8,7,91,820,2328,1993,1260,4005,3411,1139,2519,250,17722
103041078,4,34,27,10,16,17,10,18,3,153,0,19,12,0,3,8,0,8,4,60,0,8,5,3,0,4,0,0,3,27,149,554,465,312,862,800,291,752,81,4255
103041079,8,41,35,11,19,23,7,47,3,206,3,33,29,18,10,19,13,34,3,165,5,43,26,14,0,15,3,29,6,140,135,486,379,225,447,659,265,852,63,3515
104011080,25,98,48,31,57,54,9,50,12,387,7,42,14,4,5,11,5,12,3,102,4,18,17,5,6,0,0,13,4,68,459,1415,1249,943,2394,1657,481,965,210,9775
104011081,7,46,28,21,16,22,3,45,5,190,6,32,10,11,6,15,4,19,0,107,4,15,7,7,8,9,5,21,4,74,108,430,355,229,501,462,126,582,60,2853
104011082,8,76,48,27,28,29,9,35,3,271,5,44,19,3,5,8,0,8,8,101,4,17,5,0,4,5,0,9,8,42,253,1034,839,564,969,918,266,578,123,5548
104021083,5,36,16,9,12,15,3,12,0,119,0,19,14,4,0,4,0,7,0,51,0,12,8,5,7,3,0,8,0,44,96,448,343,230,336,256,69,180,35,1993
104021084,10,58,38,31,33,33,8,19,3,239,5,37,13,0,5,11,0,10,0,88,0,7,10,9,4,0,3,4,4,36,321,1327,1010,639,1449,1034,338,525,123,6758
104021085,41,128,96,68,71,71,26,43,7,556,16,72,29,12,23,12,0,22,12,191,7,25,8,6,4,7,4,3,8,71,700,2090,2011,1514,3581,2742,831,1413,268,15155
104021086,0,12,12,7,3,8,0,6,0,53,0,4,0,0,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,11,31,156,125,73,128,108,45,107,23,813
104021087,4,14,9,6,14,11,0,22,0,73,0,6,10,9,5,8,0,16,0,44,0,8,8,7,0,3,0,3,6,32,33,194,142,103,116,158,38,190,33,999
104021088,5,28,13,3,5,12,0,7,0,82,0,19,5,8,0,0,0,0,0,35,0,3,0,0,0,0,0,0,0,12,75,360,260,147,220,214,53,130,29,1483
104021089,3,65,30,26,19,22,3,16,0,188,6,34,8,6,0,7,0,8,3,64,0,14,0,4,0,0,0,0,0,19,216,984,676,502,868,776,211,478,89,4799
104021090,7,23,14,9,11,5,3,3,0,74,0,4,6,5,0,4,0,0,0,18,0,4,0,0,0,0,0,0,0,7,56,243,187,139,197,205,54,127,22,1225
104021091,12,36,37,8,14,20,3,12,5,143,6,23,12,7,0,3,0,7,0,48,3,10,6,3,0,0,0,0,0,18,125,647,573,359,698,587,155,368,87,3600
105011092,0,5,4,4,11,10,3,15,4,63,5,10,4,3,6,3,0,16,3,45,0,0,0,0,0,3,5,3,4,22,53,125,82,89,273,276,80,365,54,1392
105011093,9,6,12,9,12,8,8,26,0,91,0,3,5,3,6,5,0,7,0,28,0,0,4,4,3,0,3,3,0,26,164,187,172,98,237,349,175,873,52,2300
105011094,5,10,7,8,16,16,9,28,3,104,0,10,4,5,4,7,0,7,0,40,0,8,3,5,4,6,0,9,3,33,57,153,125,127,219,280,98,385,40,1488
105011095,0,12,10,14,8,16,3,31,0,88,0,19,6,4,8,5,0,12,0,50,4,6,6,3,3,6,0,20,12,56,93,203,188,147,377,459,157,747,64,2445
105011096,4,18,8,14,7,24,8,31,8,131,3,15,9,3,5,13,0,15,0,70,4,7,3,7,3,10,0,13,0,41,86,211,179,133,300,305,91,500,46,1852
105021097,21,55,33,21,54,60,10,23,6,277,10,24,13,7,10,15,4,9,0,94,4,13,4,6,3,8,0,0,4,43,388,938,674,498,1551,1387,389,1125,166,7121
105021098,3,10,0,4,10,3,9,31,0,77,0,9,4,0,3,9,0,10,0,36,0,0,3,3,3,12,0,13,0,34,33,89,64,46,106,175,40,367,23,936
105031099,5,29,29,16,16,27,10,42,6,176,4,23,5,8,11,15,0,23,3,100,4,26,12,3,6,7,3,22,5,99,86,399,311,216,405,442,163,564,59,2652
105031100,14,43,35,19,32,54,12,44,8,266,4,24,14,8,14,18,9,11,0,96,3,24,10,0,0,4,3,9,0,52,298,655,593,469,1525,1862,506,1133,138,7184
105031101,27,80,67,23,67,44,19,40,7,370,4,42,23,4,19,17,3,17,6,140,4,33,10,0,4,6,0,5,9,69,543,1495,1269,904,3196,2124,650,1223,222,11624
105031102,6,21,17,3,24,4,0,9,0,89,0,5,0,0,6,8,0,7,0,36,0,7,6,0,0,0,0,4,0,26,113,358,311,203,608,500,160,336,57,2644
105031103,3,16,7,0,4,12,0,25,0,70,4,8,5,3,4,12,0,10,0,41,0,14,7,3,5,5,0,7,0,48,25,137,86,69,148,180,60,303,21,1034
105031104,3,22,6,7,13,18,5,34,6,107,0,11,4,4,0,9,0,15,0,53,3,7,11,3,3,3,0,14,0,49,64,216,170,135,218,249,72,382,47,1558
105031105,8,11,22,13,22,16,14,26,3,125,0,15,12,3,3,7,3,24,4,77,0,8,8,0,5,3,6,23,3,54,87,206,227,157,337,388,138,649,58,2241
105031106,7,27,13,18,21,23,6,29,3,140,0,17,9,8,8,16,3,19,6,84,9,16,3,3,4,15,4,18,3,63,115,371,272,207,606,527,160,525,80,2861
106011107,21,42,15,10,15,23,10,24,4,161,8,24,16,8,4,3,0,20,4,92,11,7,15,4,0,6,0,5,0,47,791,957,580,390,788,700,155,488,92,4941
106011108,28,59,33,22,33,25,8,11,5,222,12,24,18,3,7,16,0,5,0,90,4,13,3,0,3,0,0,0,0,32,512,1285,1053,664,1634,1225,375,585,123,7459
106011109,9,29,16,4,6,11,0,10,3,85,4,14,5,4,3,4,3,8,3,50,4,11,4,3,0,0,0,0,0,26,106,308,176,124,268,331,113,236,31,1688
106011110,10,51,23,16,12,20,12,26,0,157,6,23,4,0,3,9,0,5,8,61,5,17,17,10,0,16,5,8,0,73,115,465,347,221,327,391,120,374,52,2412
106011111,3,37,12,11,9,14,4,8,0,116,0,13,7,0,0,9,0,4,0,36,0,5,3,0,0,0,0,0,0,11,196,700,591,425,741,702,192,415,63,4034
106011112,12,38,30,14,33,26,9,21,9,182,9,25,10,0,6,12,8,15,5,84,0,13,9,7,3,5,0,3,0,39,418,1259,1005,550,1532,1726,564,1444,167,8664
106011113,15,22,9,12,18,29,12,28,0,145,8,10,9,7,4,12,0,16,5,57,0,11,6,4,0,11,0,8,5,44,449,296,421,185,1185,1826,964,2675,154,8152
106021114,20,40,34,16,38,28,5,14,0,202,3,18,8,0,4,7,0,10,0,52,4,0,3,0,0,3,0,0,0,24,491,1120,1116,790,1926,1323,371,582,121,7843
106021116,3,20,10,4,6,8,0,8,0,49,0,9,0,3,0,0,0,4,0,26,0,0,3,3,0,0,0,0,0,12,58,245,187,111,225,229,43,152,18,1278
106021614,18,46,28,11,24,28,4,10,4,172,6,35,6,3,6,0,0,4,0,57,5,7,3,0,3,0,0,0,4,27,561,1711,1238,699,1357,1198,351,557,104,7769
106021615,4,27,10,6,4,11,3,4,0,69,0,17,7,3,6,7,0,0,0,37,0,10,4,0,0,4,0,5,3,20,168,669,456,314,550,419,129,290,52,3048
106021616,13,24,18,3,15,26,4,16,0,119,0,13,5,4,4,3,0,3,0,30,0,3,0,0,0,0,0,0,8,16,233,528,448,348,1197,1394,488,939,87,5648
106021617,0,18,4,9,9,9,0,9,0,62,0,6,11,0,0,0,0,3,0,26,3,0,0,0,0,3,0,0,0,7,100,312,198,182,256,263,75,193,19,1606
106021618,13,40,35,10,13,23,4,20,3,164,4,13,12,6,5,6,0,9,0,55,4,17,5,3,0,4,0,0,0,34,222,791,654,426,1193,1307,379,687,99,5760
106031119,7,21,4,5,0,12,0,4,4,50,0,9,0,0,0,3,0,0,0,19,0,11,0,0,0,3,0,0,0,8,93,247,150,88,149,161,42,101,20,1058
106031120,0,14,10,4,4,3,0,4,0,42,0,4,0,0,0,3,0,0,0,14,0,3,0,0,0,0,0,0,0,4,61,245,168,95,142,117,28,78,17,947
106031121,21,108,60,20,33,30,3,16,3,300,17,58,22,4,4,10,0,8,0,116,3,37,21,0,5,9,6,7,0,76,673,1786,1100,648,1237,970,266,517,98,7303
106031122,13,53,27,24,50,43,16,27,4,257,6,26,18,11,5,5,0,9,0,77,3,15,5,4,3,0,0,4,4,37,565,1176,1029,714,2709,2569,1163,1501,187,11626
106031123,0,15,9,0,3,5,0,10,0,44,0,3,4,0,4,0,0,8,3,20,4,3,0,0,0,0,0,5,0,12,28,121,94,66,95,154,42,186,21,808
106031124,6,25,11,5,7,10,3,0,4,71,0,23,9,0,0,9,4,5,0,47,5,19,0,0,0,6,0,3,0,26,98,270,184,121,174,170,63,111,32,1222
106031125,5,24,18,15,35,23,11,13,9,150,7,23,11,5,3,4,3,7,0,60,7,6,0,0,0,5,0,3,0,31,427,783,546,366,1860,1986,527,697,110,7307
106041126,17,26,25,12,42,41,18,24,0,206,3,13,8,0,8,9,3,0,0,55,5,13,6,0,6,3,0,6,6,33,480,770,744,426,1665,1670,777,1881,183,8603
106041127,3,9,9,3,7,8,4,20,0,62,0,4,6,9,0,3,0,8,3,29,0,8,10,3,5,4,0,10,0,38,96,195,206,99,299,417,236,625,37,2206
106041128,7,26,8,12,19,12,0,21,0,113,0,14,6,6,3,0,0,8,0,39,0,11,3,0,0,0,0,3,4,25,108,465,340,247,689,569,167,350,49,2989
106041129,16,30,22,19,18,27,11,38,4,183,0,28,9,12,3,19,5,21,4,95,0,18,11,9,3,12,9,14,4,81,93,321,246,165,331,518,178,517,76,2442
107011131,29,30,20,13,19,18,0,7,0,142,6,13,9,9,12,6,0,0,0,57,4,9,0,0,3,5,0,3,0,30,593,1153,733,426,928,737,186,387,87,5228
107011132,3,4,10,5,0,9,3,0,0,26,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,0,0,0,3,105,177,200,136,256,296,54,180,23,1423
107011133,13,10,3,0,25,26,6,12,0,100,6,5,4,0,3,6,0,0,0,18,0,0,0,0,0,0,0,0,3,9,212,158,192,129,845,946,592,654,66,3793
107011134,35,54,35,20,57,37,7,20,7,273,10,28,21,0,5,10,3,9,0,86,0,8,4,7,3,5,0,4,3,27,800,1189,966,634,2305,2501,704,1334,161,10589
107011545,14,18,4,0,7,13,4,5,0,56,9,10,4,0,0,0,0,0,0,23,0,11,0,0,0,0,0,0,0,16,211,320,243,176,306,285,76,157,27,1799
107011546,26,41,27,12,37,27,9,21,0,206,6,16,12,7,3,0,4,3,0,49,0,4,4,0,0,0,0,0,0,11,687,999,824,550,1418,1548,597,797,94,7510
107011547,0,4,0,0,4,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,101,82,39,89,74,9,38,6,513
107021135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,3,0,4,5,3,8,0,43
107031136,11,17,14,6,6,13,3,8,0,90,3,9,3,0,0,0,0,5,0,25,0,4,3,0,0,0,0,0,5,13,300,660,446,253,490,413,112,302,59,3031
107031137,13,10,9,5,13,8,0,6,0,64,0,10,0,0,0,0,0,0,0,21,4,4,0,0,0,0,0,0,0,12,320,587,388,239,549,588,145,303,51,3172
107031138,0,51,18,11,11,21,0,11,0,131,0,24,4,0,0,0,0,4,0,38,4,16,6,0,6,0,0,0,4,25,254,832,503,273,538,538,125,248,47,3360
107031139,0,15,3,0,3,6,0,0,3,29,0,0,3,7,0,0,0,0,0,11,0,6,0,0,0,0,0,0,0,6,41,181,88,61,118,121,38,58,11,724
107031140,7,32,20,15,3,14,0,12,0,97,5,17,12,8,3,7,0,8,0,52,3,17,3,9,0,3,5,8,0,43,153,535,308,186,316,371,84,257,39,2246
107031141,13,27,13,9,6,18,6,7,0,92,0,10,0,6,5,0,0,0,0,30,0,9,0,0,0,0,0,0,0,14,399,651,429,248,567,580,163,347,55,3444
107031142,30,29,36,16,17,16,0,9,3,155,5,16,8,0,11,6,0,4,0,43,0,0,3,0,0,3,0,0,0,16,1189,1263,934,541,1461,1151,303,467,128,7437
107031143,11,42,18,8,18,4,11,9,5,126,3,30,3,4,4,5,0,4,0,53,7,4,5,0,0,0,0,5,0,16,446,751,567,388,694,602,163,287,64,3960
