POW_SA2_CODE_2021,P_Pakistan_E,P_Pakistan_OM_IE,P_Pakistan_OM_UIE,P_Pakistan_CFW,P_Pakistan_ES_NS,P_Pakistan_Tot,P_Philippines_E,P_Philippines_OM_IE,P_Philippines_OM_UIE,P_Philippines_CFW,P_Philippines_ES_NS,P_Philippines_Tot,P_Poland_E,P_Poland_OM_IE,P_Poland_OM_UIE,P_Poland_CFW,P_Poland_ES_NS,P_Poland_Tot,P_Singapore_E,P_Singapore_OM_IE,P_Singapore_OM_UIE,P_Singapore_CFW,P_Singapore_ES_NS,P_Singapore_Tot,P_SthAfrica_E,P_SthAfrica_OM_IE,P_SthAfrica_OM_UIE,P_SthAfrica_CFW,P_SthAfrica_ES_NS,P_SthAfrica_Tot,P_SriLanka_E,P_SriLanka_OM_IE,P_SriLanka_OM_UIE,P_SriLanka_CFW,P_SriLanka_ES_NS,P_SriLanka_Tot,P_Taiwan_E,P_Taiwan_OM_IE,P_Taiwan_OM_UIE,P_Taiwan_CFW,P_Taiwan_ES_NS,P_Taiwan_Tot,P_Thailand_E,P_Thailand_OM_IE,P_Thailand_OM_UIE,P_Thailand_CFW,P_Thailand_ES_NS,P_Thailand_Tot,P_UK_E,P_UK_OM_IE,P_UK_OM_UIE,P_UK_CFW,P_UK_ES_NS,P_UK_Tot,P_USA_E,P_USA_OM_IE,P_USA_OM_UIE,P_USA_CFW,P_USA_ES_NS,P_USA_Tot,P_Vietnam_E,P_Vietnam_OM_IE,P_Vietnam_OM_UIE,P_Vietnam_CFW,P_Vietnam_ES_NS,P_Vietnam_Tot,P_Elsewhere_E,P_Elsewhere_OM_IE,P_Elsewhere_OM_UIE,P_Elsewhere_CFW,P_Elsewhere_ES_NS,P_Elsewhere_Tot,P_COB_NS_E,P_COB_NS_OM_IE,P_COB_NS_OM_UIE,P_COB_NS_CFW,P_COB_NS_ES_NS,P_COB_NS_Tot,P_Tot_E,P_Tot_OM_IE,P_Tot_OM_UIE,P_Tot_CFW,P_Tot_ES_NS,P_Tot_Tot
109031180,0,0,0,0,0,0,26,0,0,0,0,26,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,4,0,0,43,4,0,0,0,0,4,4,0,0,0,0,4,6,0,4,0,0,11,19,0,6,0,0,31,2183,139,153,55,26,2548
109031181,4,0,0,0,0,4,20,0,0,0,0,24,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,6,3,0,0,0,0,3,5,0,0,0,0,5,5,0,0,0,0,6,39,9,0,4,0,45,0,0,0,0,0,4,3,0,0,0,0,3,54,0,0,0,0,54,35,4,0,0,3,41,2147,302,243,162,36,2898
109031182,4,0,0,0,0,4,11,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,9,5,0,0,0,12,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,30,7,7,0,0,47,0,0,0,0,0,3,3,0,0,0,0,8,21,5,0,0,0,24,34,0,0,0,3,37,2572,203,215,56,36,3076
109031183,0,0,0,0,0,0,39,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,9,6,0,0,0,0,7,0,0,0,0,0,0,4,0,0,0,0,7,23,3,10,8,0,37,0,0,0,0,0,0,4,0,0,0,0,6,4,0,4,3,0,10,32,3,9,3,12,59,1734,338,449,327,72,2924
109031184,0,0,0,0,0,0,28,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,18,0,0,0,0,18,7,0,0,0,0,7,3,0,0,0,0,3,28,3,0,0,0,31,4,0,0,0,0,4,9,3,0,0,0,6,13,0,6,0,0,20,23,0,3,0,5,32,1667,173,183,51,32,2102
109031185,4,0,0,0,0,4,26,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,11,3,5,0,0,0,9,0,0,0,0,0,0,4,0,0,0,0,4,40,0,7,5,4,60,0,0,0,0,0,5,7,0,0,0,0,4,23,0,3,0,0,29,27,0,5,0,9,44,2294,353,360,178,56,3241
110011186,16,0,0,0,0,17,91,0,3,0,0,101,6,0,0,0,0,6,9,0,0,0,0,9,69,7,3,0,0,84,51,0,0,0,0,51,10,0,0,0,0,10,14,0,0,5,0,20,254,17,25,7,0,303,55,3,7,0,0,68,21,0,6,0,0,27,283,12,20,3,0,322,59,7,5,3,6,81,10240,552,745,155,63,11755
110011187,0,0,0,0,0,3,14,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,4,4,0,0,0,5,17,0,0,0,0,17,3,0,0,0,0,3,16,5,9,6,0,37,0,0,0,3,0,5,11,0,0,0,0,12,99,0,4,0,0,106,15,0,5,3,3,24,1206,114,300,182,33,1833
110011188,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,12,21,6,9,8,0,41,5,0,0,0,0,5,0,0,0,0,0,4,25,5,6,0,0,34,6,3,0,4,0,13,852,103,256,143,18,1367
110011189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,3,5,0,29,0,0,0,0,0,6,0,0,0,0,0,0,15,0,0,0,0,20,10,0,11,9,0,25,782,119,289,163,16,1378
