POW_SA2_CODE_2021,M_EW_FT_ATSI,M_EW_FT_NI,M_EW_FT_Isns,M_EW_FT_Total,M_EW_PT_ATSI,M_EW_PT_NI,M_EW_PT_Isns,M_EW_PT_Total,M_EW_Em_afw_ATSI,M_EW_Em_afw_NI,M_EW_Em_afw_Isns,M_EW_Em_afw_Total,M_Tot_ATSI,M_Tot_NI,M_Tot_Isns,M_Tot_Total,F_EW_FT_ATSI,F_EW_FT_NI,F_EW_FT_Isns,F_EW_FT_Total,F_EW_PT_ATSI,F_EW_PT_NI,F_EW_PT_Isns,F_EW_PT_Total,F_EW_Em_afw_ATSI,F_EW_Em_afw_NI,F_EW_Em_afw_Isns,F_EW_Em_afw_Total,F_Tot_ATSI,F_Tot_NI,F_Tot_Isns,F_Tot_Total,P_EW_FT_ATSI,P_EW_FT_NI,P_EW_FT_Isns,P_EW_FT_Total,P_EW_PT_ATSI,P_EW_PT_NI,P_EW_PT_Isns,P_EW_PT_Total,P_EW_Em_afw_ATSI,P_EW_Em_afw_NI,P_EW_Em_afw_Isns,P_EW_Em_afw_Total,P_Tot_ATSI,P_Tot_NI,P_Tot_Isns,P_Tot_Total
213041360,0,469,0,469,0,374,3,380,0,48,0,48,5,895,3,895,7,479,0,481,0,694,0,692,0,79,0,79,3,1250,0,1258,4,952,0,956,7,1065,3,1069,0,131,0,131,7,2143,3,2153
213041461,0,139,0,137,0,144,0,149,0,21,0,21,4,303,0,309,0,121,0,125,0,256,0,256,0,34,0,34,0,412,0,413,3,260,0,266,0,398,0,401,0,51,0,51,3,719,0,724
213041462,0,109,0,109,0,54,0,54,0,14,0,14,0,176,0,176,0,141,0,141,0,147,0,147,0,25,0,25,0,313,0,313,0,252,0,252,0,201,0,201,0,40,0,40,0,489,0,489
213041463,10,814,0,823,0,632,8,638,0,91,0,91,7,1540,8,1556,0,762,0,762,6,1181,3,1184,0,161,0,167,5,2102,3,2112,10,1573,0,1590,3,1810,6,1824,0,256,0,254,16,3648,15,3666
213041571,3,166,0,169,0,78,0,79,0,9,0,9,5,249,0,257,3,143,0,149,3,190,0,190,3,16,0,20,7,350,0,357,4,307,0,314,5,262,0,271,3,35,0,33,12,598,0,616
213041572,3,533,0,538,0,179,0,182,0,40,0,40,3,750,0,758,0,210,0,210,3,209,0,210,0,32,0,32,3,449,0,459,3,741,0,751,3,385,3,389,0,70,0,70,9,1202,0,1208
213041573,0,113,0,113,3,44,0,41,0,9,0,9,3,157,0,162,7,75,0,82,0,101,0,100,0,12,0,19,4,189,0,198,7,186,0,189,3,143,0,145,0,19,0,22,5,350,0,356
213041574,3,435,0,439,0,163,0,163,0,36,3,37,3,637,4,641,0,151,0,158,0,152,4,154,0,32,0,32,5,335,4,339,0,590,0,597,0,320,4,322,0,65,3,67,3,973,4,985
213041575,0,420,4,423,0,221,0,221,0,40,0,40,0,686,4,691,0,350,0,352,6,411,0,417,0,76,0,76,3,843,0,844,3,768,6,776,6,634,0,643,0,122,0,122,8,1527,6,1534
213041576,0,345,4,351,0,154,0,156,0,30,0,30,3,528,0,538,3,286,0,293,0,294,0,294,0,46,0,46,3,622,0,626,5,630,4,641,0,442,0,444,0,77,0,77,10,1148,0,1161
213041577,18,1932,3,1952,9,711,3,721,8,202,3,211,32,2840,9,2884,23,1251,0,1275,11,1495,0,1515,6,249,0,256,40,2999,3,3044,42,3183,8,3224,22,2210,5,2237,9,451,3,464,71,5847,12,5930
213041578,4,516,0,520,4,296,0,299,5,39,0,43,8,854,0,865,6,541,3,548,7,650,5,658,0,76,0,78,20,1259,8,1283,12,1055,0,1068,13,947,5,962,4,115,0,119,27,2117,10,2151
213051361,17,3209,3,3231,10,1297,7,1310,0,288,0,293,28,4791,16,4833,11,1447,3,1459,15,1755,5,1774,0,234,4,237,22,3432,3,3465,30,4654,5,4686,23,3051,9,3083,7,518,5,527,54,8223,22,8297
213051362,6,740,0,752,3,766,5,771,4,152,0,152,12,1659,11,1681,6,1025,8,1032,26,1932,0,1956,0,404,0,406,34,3359,3,3397,13,1768,4,1788,29,2697,5,2728,9,552,0,562,48,5014,13,5076
213051363,85,12243,24,12362,13,2390,8,2411,6,700,0,709,103,15340,36,15482,17,3587,9,3604,14,1864,0,1879,7,390,3,402,35,5838,11,5883,107,15831,34,15966,25,4253,8,4286,9,1093,0,1109,137,21180,48,21361
213051368,27,3458,7,3492,14,1340,7,1360,0,307,3,307,37,5098,15,5159,28,3234,7,3275,21,3614,9,3642,8,585,4,597,57,7433,22,7513,56,6697,16,6764,35,4951,19,5004,9,886,10,903,100,12535,41,12674
213051464,0,540,0,545,0,274,0,273,0,50,0,56,0,864,5,870,3,445,0,446,0,484,0,484,0,64,0,64,3,992,0,996,5,979,0,993,0,758,0,763,0,118,0,121,5,1858,5,1866
213051466,0,502,0,502,0,260,0,254,0,38,0,38,0,799,0,802,4,541,0,547,0,525,0,525,5,85,0,87,3,1154,0,1158,3,1047,0,1047,0,786,0,781,5,125,0,127,11,1950,0,1961
213051467,9,577,0,586,0,280,0,284,0,69,0,69,6,926,0,936,3,684,6,687,11,856,0,866,5,136,4,140,18,1680,6,1700,11,1259,3,1275,11,1144,0,1153,5,209,4,211,26,2602,6,2634
213051468,11,751,4,767,0,308,0,307,6,76,0,77,13,1127,5,1148,0,406,0,408,5,515,3,526,0,77,0,77,10,1003,3,1012,13,1161,4,1172,11,822,3,835,6,147,0,147,24,2133,10,2159
213051579,3,284,0,292,0,90,0,90,0,20,0,20,3,394,0,398,4,318,0,322,4,252,0,256,0,47,0,46,9,621,0,625,5,603,0,611,4,341,0,347,0,64,0,68,9,1018,0,1026
213051580,6,1178,0,1184,3,853,0,856,7,140,0,145,14,2173,0,2184,3,1043,4,1053,20,1721,0,1744,0,249,5,252,21,3024,10,3057,14,2224,4,2234,24,2578,0,2602,8,391,5,403,38,5194,10,5240
213051581,0,208,0,214,0,168,0,168,5,23,0,27,5,404,0,409,3,348,0,351,0,397,0,399,0,50,4,48,5,794,4,800,3,556,0,562,0,569,0,572,5,72,4,77,12,1192,4,1205
213051582,0,259,0,262,0,225,0,223,0,31,0,31,0,513,0,517,3,135,0,139,0,188,4,192,0,32,0,32,3,358,4,362,7,394,0,395,0,414,3,418,0,63,0,64,7,876,3,878
213051583,6,850,0,856,0,633,0,637,0,128,0,129,3,1607,4,1617,3,916,0,916,14,1108,0,1126,0,179,0,179,15,2201,4,2216,5,1759,5,1771,16,1747,4,1763,0,301,0,305,19,3809,9,3834
213051584,0,237,0,244,0,162,0,162,0,32,0,34,5,434,0,437,0,59,0,59,0,76,0,73,0,11,0,18,4,146,0,146,0,295,0,298,0,237,0,241,5,51,0,53,3,581,0,590
