POW_SA2_CODE_2021,Tot_16_Other_FT,Tot_16_Other_PT,Tot_16_Other_NS,Tot_16_Other_Tot,Tot_16_Not_Stated,Tot_16_Tot,Tot_17_TertVE_TPTP_FT,Tot_17_TertVE_TPTP_PT,Tot_17_TertVE_TPTP_NS,Tot_17_TertVE_TPTP_Tot,Tot_17_TertUni_or_OHE_FT,Tot_17_TertUni_or_OHE_PT,Tot_17_TertUni_or_OHE_NS,Tot_17_TertUni_or_OHE_Tot,Tot_17_Other_FT,Tot_17_Other_PT,Tot_17_Other_NS,Tot_17_Other_Tot,Tot_17_Not_Stated,Tot_17_Tot,Tot_18_TertVE_TPTP_FT,Tot_18_TertVE_TPTP_PT,Tot_18_TertVE_TPTP_NS,Tot_18_TertVE_TPTP_Tot,Tot_18_TertUni_or_OHE_FT,Tot_18_TertUni_or_OHE_PT,Tot_18_TertUni_or_OHE_NS,Tot_18_TertUni_or_OHE_Tot,Tot_18_Other_FT,Tot_18_Other_PT,Tot_18_Other_NS,Tot_18_Other_Tot,Tot_18_Not_Stated,Tot_18_Tot,Tot_19_TertVE_TPTP_FT,Tot_19_TertVE_TPTP_PT,Tot_19_TertVE_TPTP_NS,Tot_19_TertVE_TPTP_Tot,Tot_19_TertUni_or_OHE_FT,Tot_19_TertUni_or_OHE_PT,Tot_19_TertUni_or_OHE_NS,Tot_19_TertUni_or_OHE_Tot,Tot_19_Other_FT,Tot_19_Other_PT,Tot_19_Other_NS,Tot_19_Other_Tot,Tot_19_Not_Stated,Tot_19_Tot,Tot_20_24_TertVE_TPTP_FT,Tot_20_24_TertVE_TPTP_PT,Tot_20_24_TertVE_TPTP_NS,Tot_20_24_TertVE_TPTP_Tot,Tot_20_24_TertUni_or_OHE_FT,Tot_20_24_TertUni_or_OHE_PT,Tot_20_24_TertUni_or_OHE_NS,Tot_20_24_TertUni_or_OHE_Tot,Tot_20_24_Other_FT,Tot_20_24_Other_PT,Tot_20_24_Other_NS,Tot_20_24_Other_Tot,Tot_20_24_Not_Stated,Tot_20_24_Tot,Tot_25_29_TertVE_TPTP_FT,Tot_25_29_TertVE_TPTP_PT,Tot_25_29_TertVE_TPTP_NS,Tot_25_29_TertVE_TPTP_Tot,Tot_25_29_TertUni_or_OHE_FT,Tot_25_29_TertUni_or_OHE_PT,Tot_25_29_TertUni_or_OHE_NS,Tot_25_29_TertUni_or_OHE_Tot,Tot_25_29_Other_FT,Tot_25_29_Other_PT,Tot_25_29_Other_NS,Tot_25_29_Other_Tot,Tot_25_29_Not_Stated,Tot_25_29_Tot,Tot_30ov_TertVE_TPTP_FT,Tot_30ov_TertVE_TPTP_PT,Tot_30ov_TertVE_TPTP_NS,Tot_30ov_TertVE_TPTP_Tot,Tot_30ov_TertUni_or_OHE_FT,Tot_30ov_TertUni_or_OHE_PT,Tot_30ov_TertUni_or_OHE_NS,Tot_30ov_TertUni_or_OHE_Tot,Tot_30ov_Other_FT,Tot_30ov_Other_PT,Tot_30ov_Other_NS,Tot_30ov_Other_Tot,Tot_30ov_Not_Stated,Tot_30ov_Tot,Tot_Tot_TertVE_TPTP_FT,Tot_Tot_TertVE_TPTP_PT,Tot_Tot_TertVE_TPTP_NS,Tot_Tot_TertVE_TPTP_Tot,Tot_Tot_TertUni_or_OHE_FT,Tot_Tot_TertUni_or_OHE_PT,Tot_Tot_TertUni_or_OHE_NS,Tot_Tot_TertUni_or_OHE_Tot,Tot_Tot_Other_FT,Tot_Tot_Other_PT,Tot_Tot_Other_NS,Tot_Tot_Other_Tot,Tot_Tot_Not_Stated,Tot_Tot_Tot
506011110,105,0,0,105,0,110,7,5,0,15,0,0,0,0,139,0,0,139,0,160,16,19,0,30,41,11,0,48,15,3,0,20,0,99,6,19,0,29,41,6,0,51,0,4,0,0,0,82,26,51,0,79,156,50,0,205,3,0,0,7,0,284,10,20,0,33,39,35,0,68,4,5,0,13,0,119,17,78,0,98,43,79,0,123,10,23,0,29,14,263,95,200,0,291,315,175,4,494,375,37,0,405,19,1213
506011111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
506011112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,8,3,0,11,0,0,0,0,0,14,0,0,0,3,3,0,0,12,0,0,0,0,0,6,11,13,0,20,4,12,0,17,0,4,0,4,0,44,13,13,0,25,18,25,0,39,12,4,0,10,0,79
506011114,46,0,0,46,0,47,0,0,0,4,0,0,0,0,48,0,0,48,0,54,5,9,0,16,20,5,0,25,13,0,0,13,0,49,0,4,0,9,18,0,0,21,3,0,0,6,0,31,15,18,0,30,65,16,0,80,3,0,0,4,0,116,3,8,0,10,17,5,0,21,3,3,0,7,0,44,13,31,0,42,14,27,0,39,6,16,0,22,6,116,44,81,0,123,137,53,0,193,157,24,0,181,6,505
506011115,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,11,23,8,0,35,0,0,0,0,0,48,0,6,0,9,11,21,0,25,0,0,0,0,0,37,11,21,0,28,22,68,0,83,5,21,0,22,7,142,16,35,0,49,58,95,0,154,13,21,0,31,7,241
506011116,10,0,0,10,0,14,0,5,0,5,0,0,0,0,20,0,0,20,0,23,0,0,0,0,3,0,0,3,3,0,0,3,0,4,0,5,0,5,6,0,0,10,0,0,0,0,0,12,0,3,0,7,23,0,0,22,0,0,0,0,0,28,0,0,0,0,4,0,0,11,0,0,0,0,0,10,6,13,0,15,3,8,0,12,0,6,0,6,0,31,9,25,0,30,36,14,0,57,41,3,0,46,0,132
506011117,9,0,0,9,0,13,0,5,0,7,0,0,0,0,20,0,0,20,0,23,5,0,0,8,11,0,0,6,0,0,0,0,0,18,0,0,0,4,12,0,0,13,0,0,0,0,0,15,4,4,0,8,42,12,0,54,0,0,0,4,0,60,5,0,0,5,4,8,0,7,0,0,0,0,0,13,4,25,0,24,6,16,0,18,0,0,0,0,3,51,16,32,0,51,71,32,0,101,49,7,0,57,6,208
506011307,66,0,0,66,0,65,5,0,0,3,0,0,0,0,48,0,0,48,0,54,3,5,0,7,23,0,0,23,6,0,0,6,0,38,3,0,0,0,32,3,0,33,0,0,0,0,0,34,7,5,0,15,75,8,0,86,3,0,0,9,0,105,9,4,0,12,15,8,0,23,0,4,0,6,0,38,5,15,3,22,11,37,0,45,0,16,0,16,0,86,31,32,3,65,157,54,0,213,168,18,0,186,3,471
506011308,18,0,0,18,0,26,0,3,0,7,0,0,0,0,33,4,0,35,0,43,0,5,0,5,7,0,0,7,0,0,0,0,0,13,5,9,0,16,3,4,0,4,0,0,0,0,0,23,14,31,0,47,39,16,0,60,0,3,0,0,0,103,7,12,0,15,17,18,0,28,0,0,0,4,0,49,9,65,0,77,16,42,0,65,0,16,0,14,4,157,41,119,0,160,85,75,0,163,82,18,0,97,6,428
506021118,96,0,0,96,0,101,0,3,0,10,0,0,0,0,91,0,0,91,0,99,20,17,0,29,53,9,0,62,14,3,0,15,0,110,12,23,0,37,41,5,0,51,0,0,0,3,0,93,44,76,0,123,241,80,0,323,7,14,0,19,4,466,30,58,0,86,100,67,0,167,14,20,0,31,3,294,38,191,0,226,118,209,0,329,17,66,0,89,29,672,151,364,0,517,560,372,0,931,306,104,0,407,39,1900
