POW_SA2_CODE_2021,Ag_For_Fish_ATSI,Ag_For_Fish_Non_Indig,Ag_For_Fish_Indig_Status_NS,Ag_For_Fish_Tot,Min_ATSI,Min_Non_Indig,Min_Indig_Status_NS,Min_Total,Mnf_ATSI,Mnf_Non_Indig,Mnf_Indig_Status_NS,Mnf_Tot,EGWWS_ATSI,EGWWS_Non_Indig,EGWWS_Indig_Status_NS,EGWWS_Tot,Const_ATSI,Const_Non_Indig,Const_Indig_Status_NS,Const_Tot,WST_ATSI,WST_Non_Indig,WST_Indig_Status_NS,WST_Tot,RetT_ATSI,RetT_Non_Indig,RetT_Indig_Status_NS,RetT_Tot,AcFd_ATSI,AcFd_Non_Indig,AcFd_Indig_Status_NS,AcFd_Tot,TPW_ATSI,TPW_Non_Indig,TPW_Indig_Status_NS,TPW_Tot,IMT_ATSI,IMT_Non_Indig,IMT_Indig_Status_NS,IMT_Tot,FinIns_ATSI,FinIns_Non_Indig,FinIns_Indig_Status_NS,FinIns_Tot,RHRE_ATSI,RHRE_Non_Indig,RHRE_Indig_Status_NS,RHRE_Tot,ProSTS_ATSI,ProSTS_Non_Indig,ProSTS_Indig_Status_NS,ProSTS_Tot,AdSup_ATSI,AdSup_Non_Indig,AdSup_Indig_Status_NS,AdSup_Tot,PubAS_ATSI,PubAS_Non_Indig,PubAS_Indig_Status_NS,PubAS_Tot,EdTrn_ATSI,EdTrn_Non_Indig,EdTrn_Indig_Status_NS,EdTrn_Tot,HltHC_SA_ATSI,HltHC_SA_Non_Indig,HltHC_SA_Indig_Status_NS,HltHC_SA_Tot,ArtsR_ATSI,ArtsR_Non_Indig,ArtsR_Indig_Status_NS,ArtsR_Tot,OthSvs_ATSI,OthSvs_Non_Indig,OthSvs_Indig_Status_NS,OthSvs_Tot,IDNS_ATSI,IDNS_Non_Indig,IDNS_Indig_Status_NS,IDNS_Tot,Tot_ATSI,Tot_Non_Indig,Tot_Indig_Status_NS,Tot_Tot
115041301,0,377,0,383,0,27,0,27,8,538,0,549,0,39,0,43,47,1407,4,1454,6,230,0,238,10,507,0,520,8,265,5,277,11,370,3,385,0,16,0,16,3,49,0,51,4,80,0,85,3,177,5,184,4,123,0,131,0,67,0,67,17,475,0,489,8,216,0,219,3,70,0,73,10,316,0,327,19,327,3,351,176,5675,21,5870
115041623,0,20,0,20,0,0,0,0,0,39,0,39,0,8,0,8,10,495,0,507,0,19,0,19,0,18,0,22,0,6,0,6,0,52,0,52,0,14,0,14,0,29,0,29,0,26,0,26,0,117,0,115,7,37,0,46,0,15,0,15,4,57,0,61,9,138,0,140,0,8,0,5,0,34,0,37,0,56,0,62,25,1195,3,1224
115041624,0,6,0,6,0,0,0,0,0,47,0,46,0,6,0,6,0,219,0,222,0,27,0,23,0,217,0,219,0,204,0,212,0,44,0,44,0,12,0,12,0,91,0,98,0,37,0,36,0,227,0,229,0,64,0,64,0,21,0,20,4,319,0,325,4,288,3,297,0,11,0,11,0,73,0,74,0,86,0,86,16,2001,8,2026
115041625,0,4,0,4,0,5,0,5,0,99,0,99,0,23,0,23,13,439,0,453,3,94,0,99,24,1526,3,1556,17,937,0,960,7,82,0,92,0,93,0,93,3,139,0,144,0,119,0,120,0,305,0,305,0,155,0,155,0,73,0,73,11,676,0,693,7,662,0,672,0,77,0,75,6,212,0,216,3,239,0,241,101,5960,6,6068
116011303,0,10,0,10,0,24,0,29,31,1978,3,2012,17,317,4,334,40,1437,9,1479,13,1053,0,1068,45,2209,3,2260,21,1082,0,1106,14,871,0,886,5,191,0,196,3,302,0,305,0,195,0,201,0,526,0,526,14,498,0,514,71,1721,0,1792,18,849,0,869,126,5218,3,5340,4,87,0,91,18,838,0,851,32,1183,7,1222,479,20591,41,21104
116011304,0,4,0,4,0,0,0,0,0,26,0,28,0,10,0,10,0,162,0,161,0,34,0,35,0,233,0,239,5,121,0,124,3,252,0,258,0,13,0,13,0,37,0,37,0,32,0,32,3,107,0,111,0,58,0,56,0,64,0,67,9,467,0,472,4,464,0,468,0,7,0,7,3,57,0,54,4,92,0,97,34,2247,8,2288
116011306,0,0,0,0,0,0,0,0,0,51,0,52,0,6,0,6,4,116,0,118,0,21,0,21,16,325,0,342,9,155,0,165,0,120,0,121,0,22,0,22,0,54,0,54,0,23,0,23,0,77,0,85,0,53,0,52,3,51,0,50,20,383,0,406,8,346,0,356,6,179,0,188,0,55,0,55,4,89,0,95,68,2131,0,2198
116011307,0,17,0,17,0,29,0,29,16,1718,4,1737,0,220,0,220,67,3069,4,3147,3,846,0,852,13,921,0,933,10,404,0,415,14,1226,4,1242,4,194,0,200,0,91,0,90,8,210,0,215,9,709,0,712,5,539,0,546,9,302,0,314,8,587,0,598,19,981,0,999,0,80,0,79,11,744,0,750,27,1306,7,1339,218,14187,24,14433
116011560,0,0,0,0,0,0,0,0,0,23,0,23,0,0,0,0,0,93,0,93,0,9,0,9,0,52,0,52,0,14,0,14,0,72,0,72,0,17,0,17,0,27,0,27,0,9,0,9,0,59,0,59,0,30,0,30,0,23,0,23,7,438,0,444,0,114,0,117,0,0,0,0,0,37,0,37,0,35,0,32,9,1054,0,1063
116011561,0,0,0,0,0,0,0,0,0,34,0,34,0,0,0,0,0,105,0,112,0,15,0,15,5,80,0,81,4,66,0,69,0,90,0,86,0,8,0,8,3,45,0,49,0,19,0,19,0,83,0,83,0,78,0,79,0,37,0,41,5,492,0,496,7,444,0,449,0,10,0,10,0,42,0,46,0,93,0,97,29,1749,3,1782
116011626,0,12,0,12,0,0,0,0,4,265,0,270,0,15,0,15,9,292,0,298,3,187,0,191,12,807,0,825,4,243,0,249,0,282,0,280,0,80,0,78,0,83,0,87,0,79,0,79,0,117,0,114,0,100,0,95,3,117,0,119,10,339,0,350,5,464,4,476,0,50,0,50,5,188,0,188,3,212,10,221,70,3926,17,4018
116011627,0,0,0,5,0,0,0,0,0,15,0,15,0,6,0,6,3,97,0,101,0,11,0,11,0,183,0,187,0,103,0,108,0,54,0,54,0,4,0,4,0,42,0,42,0,37,0,41,0,110,0,110,0,40,0,40,0,19,0,19,7,257,0,261,0,226,0,227,0,12,0,15,0,37,0,37,0,58,0,60,19,1314,4,1338
116021309,0,8,0,8,0,0,0,0,0,34,0,33,0,3,0,3,3,104,0,102,0,24,0,24,0,156,0,155,0,152,0,156,0,86,0,86,0,15,0,14,0,72,0,72,0,18,0,18,0,148,0,152,0,58,0,58,4,29,0,33,4,430,0,433,0,245,0,244,0,60,0,62,0,47,0,46,0,56,0,56,20,1737,0,1761
116021562,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,29,0,29,0,0,0,0,0,10,0,10,0,3,0,3,0,19,0,19,0,3,0,3,0,11,0,11,0,0,0,0,0,40,0,40,0,12,0,12,0,8,0,8,4,92,0,92,0,42,0,39,0,0,0,0,0,14,0,14,0,12,0,12,0,295,0,297
116021563,0,4,0,4,0,0,0,0,0,39,0,41,0,0,0,0,7,198,0,206,0,31,0,31,0,127,0,123,0,156,0,163,0,102,0,102,0,20,0,20,0,57,0,57,0,52,0,52,0,157,0,159,6,70,0,71,3,77,0,85,23,835,3,862,7,462,0,469,0,10,0,15,0,94,0,99,6,91,0,93,51,2597,6,2660
116021628,0,0,0,0,0,0,0,0,0,27,0,29,0,8,0,10,3,160,0,165,0,22,0,22,0,276,0,278,0,266,0,267,0,80,0,80,0,38,0,38,0,91,0,91,0,69,0,66,4,243,0,243,0,63,0,66,0,29,0,30,5,345,0,351,4,415,3,419,0,8,0,8,0,65,0,65,4,96,0,100,23,2315,6,2344
116021629,0,48,0,51,0,0,0,0,5,409,0,414,0,24,0,24,6,192,0,202,3,463,0,469,28,1162,0,1186,0,126,0,128,8,431,0,440,0,29,0,29,0,54,0,54,0,37,0,37,0,120,0,124,0,104,0,104,0,92,0,97,7,204,0,209,0,198,0,204,0,14,0,14,0,71,0,77,0,275,0,276,70,4052,8,4131
116021630,0,45,0,45,0,7,0,7,14,538,0,555,3,46,0,48,34,930,0,970,3,118,0,120,10,184,0,199,3,221,0,226,12,334,0,347,0,19,0,19,0,33,0,33,6,76,0,76,0,160,0,166,0,66,0,66,8,219,0,226,17,511,0,528,6,248,0,246,0,19,0,19,7,223,0,225,0,279,0,281,125,4272,3,4399
116021631,0,13,0,13,0,3,0,3,0,66,0,66,0,18,0,18,0,108,0,117,0,17,0,17,7,161,0,169,0,80,0,82,0,41,0,44,0,11,0,11,0,38,0,42,0,16,0,16,0,94,0,94,0,33,0,32,0,18,0,18,0,53,0,53,0,100,0,102,0,25,0,25,0,29,0,29,0,45,0,45,17,981,0,999
116021632,0,4,0,4,0,0,0,0,0,55,0,54,0,0,0,0,3,307,0,316,0,29,0,29,11,312,0,327,3,148,0,151,0,289,0,294,0,43,0,43,0,110,0,110,0,40,0,40,0,260,0,259,0,68,0,69,0,50,0,49,5,868,0,872,0,206,0,207,0,8,0,8,0,45,0,49,4,115,0,119,38,2961,4,3001
116021633,0,3,0,3,0,3,0,3,0,34,0,32,0,6,0,6,7,149,0,155,0,22,0,22,7,400,0,406,0,168,0,169,0,54,0,54,0,13,0,13,0,69,0,72,0,49,0,47,4,115,0,117,0,34,0,36,17,447,4,466,0,266,0,273,3,284,0,290,0,21,0,21,0,46,0,48,0,77,0,82,38,2281,4,2322
