POW_SA2_CODE_2021,Tot_Bf_91,Tot_91_95,Tot_96_00,Tot_01_05,Tot_06_10,Tot_11_15,Tot_16_20,Tot_2021,Tot_NS,Tot_Tot
122021421,284,50,71,101,89,93,109,4,10,810
122021422,273,61,109,102,94,105,99,0,8,865
122021690,921,241,409,460,562,493,677,3,45,3821
122021691,280,66,101,118,176,132,196,0,15,1084
122031424,195,37,67,88,107,66,105,0,5,671
122031425,309,86,108,149,149,132,168,0,10,1116
122031427,308,76,105,129,162,134,149,0,11,1078
122031429,1476,373,680,758,1003,1072,1548,14,83,6991
122031430,382,116,193,212,286,240,263,6,28,1727
122031432,276,64,82,111,107,112,194,4,11,964
122031692,586,148,306,358,445,401,484,7,19,2753
122031693,207,35,86,94,124,130,167,0,15,861
122031694,140,36,62,90,98,78,81,0,0,581
122031695,362,106,206,190,305,296,459,3,23,1953
122031696,1058,310,511,617,774,710,889,21,40,4938
122031697,210,47,102,119,178,157,231,0,6,1055
123011433,308,71,91,99,186,143,97,0,18,1016
123011698,628,175,189,180,293,268,268,6,37,2037
123011699,413,77,132,126,212,146,146,0,21,1288
123011700,98,29,40,31,46,35,37,0,8,320
123011701,190,52,52,67,93,70,68,0,6,596
123011702,47,6,25,14,37,33,24,0,4,183
123021436,175,36,41,49,94,44,55,0,3,495
123021437,1771,506,605,682,1059,816,659,17,81,6199
123021438,199,49,63,77,96,65,42,0,14,604
123021439,0,0,0,0,0,0,0,0,0,0
123021441,169,44,44,44,87,45,46,0,5,492
123021443,939,323,382,383,608,430,442,5,56,3568
123021444,232,50,76,67,98,77,65,0,9,673
123021703,76,46,73,58,126,86,65,0,5,542
123021704,174,82,102,133,239,143,104,0,9,996
123021705,1512,451,555,520,723,585,679,7,74,5101
123021706,201,95,87,108,157,101,96,0,13,855
123031445,82,16,23,7,31,18,20,0,8,201
123031446,213,35,46,52,91,68,41,0,6,558
123031447,363,56,76,62,109,87,100,0,14,866
123031448,111,20,25,15,32,23,30,0,9,271
124011449,140,20,29,31,32,25,31,0,10,326
124011450,289,46,57,69,78,41,49,0,4,638
124011451,0,0,0,0,0,5,0,0,0,5
124011452,612,95,140,124,167,173,193,5,31,1538
124011453,197,24,32,49,36,35,26,0,11,408
124011454,425,57,75,84,107,84,99,0,6,936
124011455,144,23,19,27,32,17,19,0,7,290
124021456,0,0,0,0,0,0,0,0,0,0
124031457,74,31,31,35,62,52,47,0,5,337
124031459,374,67,118,92,140,123,121,0,23,1058
124031460,175,44,62,58,84,76,43,0,9,540
124031461,396,92,104,85,173,161,177,0,13,1192
124031462,912,321,365,501,821,600,421,3,32,3985
124031463,380,77,103,103,137,92,105,0,11,1003
124031464,1526,373,472,557,781,597,674,10,65,5054
124031465,92,18,14,15,21,17,12,0,7,196
124031707,186,32,50,55,64,60,33,0,6,499
124031708,115,32,42,52,118,90,51,0,3,508
124041466,520,123,176,202,294,220,277,0,16,1834
124041467,516,136,154,187,234,242,231,0,18,1720
124041468,195,52,70,58,96,83,51,0,13,616
124051469,873,317,431,397,677,458,521,6,46,3723
124051470,199,50,58,64,74,73,57,0,5,590
124051580,101,30,48,50,52,48,61,0,7,400
124051581,1049,282,320,399,517,499,506,3,59,3635
125011475,31,4,10,4,11,8,8,0,0,73
125011582,850,384,423,505,605,422,498,6,47,3745
125011583,496,155,243,280,382,385,471,0,28,2448
125011584,388,125,153,187,259,248,286,0,20,1672
125011585,100,33,49,50,51,59,72,0,11,416
125011586,1369,513,703,879,1205,965,1236,7,98,6969
125011587,358,98,143,136,208,206,232,3,22,1412
125011709,1611,609,804,871,1165,997,1222,20,62,7372
125011710,1120,364,576,709,1124,1042,1507,24,58,6528
125021477,1670,594,707,792,1010,813,928,20,73,6602
125021478,254,72,130,165,171,149,161,0,8,1112
125021711,287,110,141,194,225,183,164,0,20,1335
125021712,263,122,144,188,217,148,145,0,16,1246
125031479,1197,439,474,433,673,551,635,4,90,4488
125031480,850,286,321,318,452,441,513,9,54,3244
125031481,886,294,315,322,497,413,565,0,55,3350
125031483,512,158,224,280,369,345,446,4,29,2374
125031484,307,122,142,136,203,155,188,0,10,1265
125031486,1500,427,537,503,709,639,686,13,71,5083
125031487,508,206,256,250,386,349,589,4,42,2590
125031713,233,70,82,73,103,67,88,0,9,723
125031714,489,173,239,203,323,300,311,0,28,2068
125031715,605,241,299,353,439,391,517,13,34,2891
125031716,66,21,32,39,38,34,58,0,3,298
125041489,1032,320,428,525,692,549,638,11,52,4246
125041490,413,134,194,240,330,259,296,0,16,1881
125041491,2216,886,1099,1353,1830,1170,1032,34,93,9714
125041493,402,149,190,226,338,301,378,0,21,2003
125041494,269,82,106,122,170,136,164,4,7,1053
125041588,508,225,260,386,606,513,606,10,50,3159
125041589,266,108,177,230,336,308,414,5,15,1857
125041717,5164,2020,2479,2830,3381,2989,3221,32,170,22286
125041718,189,73,87,116,184,174,269,5,17,1112
125041719,551,190,230,295,506,428,627,6,34,2864
126011496,534,185,207,301,305,236,224,0,16,2015
126011720,225,71,113,127,190,121,181,5,0,1033
126011721,291,141,180,221,290,187,207,6,15,1534
126021498,633,160,230,269,342,397,408,4,34,2485
126021499,335,72,119,117,188,171,262,5,17,1276
126021500,5344,2078,2906,3833,4809,4631,5295,111,237,29239
126021501,1308,477,661,793,1121,960,1052,20,55,6442
126021503,610,202,293,331,500,427,527,5,33,2919
126021590,96,35,24,33,41,32,19,0,0,278
126021722,136,42,52,81,98,50,46,0,5,518
126021723,643,229,331,438,573,450,454,0,35,3155
126021724,587,215,284,297,427,326,475,4,26,2648
126021725,214,83,103,124,263,222,260,4,8,1288
127011504,185,82,85,60,80,65,52,0,12,621
127011505,462,162,160,158,251,238,177,0,28,1635
127011592,20,0,7,6,10,16,16,0,0,69
127011593,150,37,37,27,29,21,31,0,4,334
127011594,248,88,92,91,95,60,54,0,8,734
127011595,317,120,104,110,174,141,126,0,6,1096
127011596,237,113,100,106,147,94,77,0,12,896
127011597,209,101,77,74,87,49,40,0,11,649
127011726,100,27,35,27,35,43,25,0,5,293
127011727,204,56,99,96,197,165,122,3,11,961
127011728,223,84,86,94,147,123,106,0,21,893
127011729,181,64,90,117,224,141,105,3,9,937
127021509,391,128,125,117,123,104,111,0,14,1116
127021510,307,69,114,79,86,80,94,0,13,834
127021511,1550,521,402,319,559,506,479,10,88,4433
127021512,273,83,97,73,76,69,67,0,10,746
127021513,464,195,143,122,161,146,171,0,18,1416
127021514,181,44,56,45,52,48,67,0,13,500
127021515,754,295,316,303,373,342,338,5,44,2765
127021516,235,107,96,85,109,86,99,0,8,822
127021517,440,194,164,177,267,191,174,0,22,1624
127021518,720,237,280,231,406,314,328,3,38,2562
127021519,547,181,174,170,252,211,273,4,24,1836
127021520,302,88,93,65,60,60,47,0,8,729
127021521,2597,750,814,781,1185,1001,1337,14,104,8579
127031522,435,158,203,208,294,185,200,0,30,1715
127031523,1833,536,568,602,830,751,854,11,84,6074
127031524,650,249,276,322,423,286,262,9,32,2514
127031599,81,41,54,44,36,50,34,0,0,340
127031601,573,218,196,214,286,236,276,0,41,2045
127031730,67,41,76,66,169,97,121,0,5,639
127031731,2061,842,912,1012,1301,928,616,11,103,7787
127031732,282,117,134,167,191,146,126,0,13,1174
127031733,1401,476,667,604,750,627,643,8,72,5236
128011529,225,39,63,73,110,99,119,0,8,736
128011530,684,172,249,319,431,427,521,8,32,2846
128011531,558,141,185,196,267,270,343,8,25,1988
128011602,998,242,336,374,535,527,528,12,45,3601
128011603,120,13,17,27,35,35,35,0,0,287
128011604,501,86,157,188,274,315,416,8,22,1958
128011605,39,0,9,7,12,3,7,0,0,80
128011606,111,18,24,24,41,32,40,4,3,298
128021533,82,19,28,29,54,46,80,0,7,341
128021534,162,23,34,31,18,32,33,0,0,336
128021535,523,118,170,175,179,138,172,0,20,1502
128021536,276,65,90,104,143,122,123,0,5,927
128021537,12,3,0,5,0,3,4,0,0,28
128021538,856,176,250,318,428,384,571,8,38,3025
128021607,227,43,56,67,97,85,135,0,12,730
128021608,62,4,10,11,9,20,11,0,0,135
128021609,17,4,5,4,7,4,3,0,0,51
197979799,4,0,0,0,0,0,0,0,0,3
199999499,11981,2798,3980,4046,5210,5465,7199,145,810,41629
201011001,89,9,39,51,97,89,115,0,7,498
201011002,654,105,166,282,563,505,483,9,33,2798
201011005,147,25,35,54,81,65,52,0,8,472
201011006,120,15,20,43,87,88,149,4,3,526
201011007,14,3,4,4,9,0,7,0,0,43
201011008,319,41,72,124,195,232,242,0,13,1246
201011481,99,10,11,22,72,56,87,0,7,370
201011482,64,9,21,14,45,46,55,0,4,256
201011483,86,17,22,40,72,63,110,3,6,419
201011484,70,8,24,29,57,55,69,0,6,313
201021009,126,14,17,21,86,56,61,0,7,388
201021010,96,4,24,20,53,36,45,0,9,296
201021011,237,30,50,65,71,93,108,0,19,686
201021012,50,6,13,10,13,12,14,0,3,120
201031013,36,4,11,6,7,6,12,0,0,80
201031014,61,3,8,12,19,17,21,0,6,140
201031015,31,4,0,3,4,12,3,4,0,59
201031016,124,7,18,20,58,45,55,0,13,334
201031017,36,0,0,8,13,16,21,0,5,88
202011018,600,95,146,249,568,492,610,6,35,2810
202011019,38,7,10,16,38,29,42,0,3,190
202011020,154,29,38,65,133,141,179,0,12,743
202011021,63,14,21,26,34,39,34,0,0,229
202011022,165,23,49,59,138,125,125,3,8,695
202011023,26,0,4,3,12,9,0,0,0,59
202011024,27,0,7,12,26,14,19,0,7,123
202011025,69,5,25,35,92,76,63,0,6,373
202021026,49,13,11,28,192,129,135,0,11,572
202021027,267,50,71,82,132,85,103,0,17,812
202021028,106,15,17,27,19,25,8,0,8,222
202021029,57,9,14,10,20,22,14,0,8,156
202021030,255,17,59,69,137,113,179,0,13,848
202021031,146,23,33,50,71,58,41,0,8,437
202031032,33,7,10,20,20,26,18,0,0,136
202031033,64,6,8,16,34,46,46,4,3,233
203011034,64,8,17,20,39,49,50,0,3,258
203011035,74,11,15,12,31,37,31,0,4,215
203011036,77,7,11,14,32,24,14,5,4,180
203021037,210,34,45,79,227,147,205,0,17,963
203021039,1785,298,457,624,1250,1235,1280,20,108,7061
203021040,241,33,43,80,160,195,240,0,11,1010
203021042,337,60,117,165,327,356,421,9,14,1811
203021043,372,75,93,165,372,370,340,7,29,1826
203021044,102,4,26,26,62,60,66,0,0,357
203021045,244,52,52,57,145,162,174,0,18,901
203021046,211,26,35,62,117,89,103,0,15,660
203021047,668,100,143,219,463,460,459,7,26,2530
203021485,50,9,13,22,61,62,92,0,3,313
203021486,360,72,64,109,220,219,282,4,9,1334
203021487,243,35,54,94,261,266,332,0,19,1313
203021488,185,21,42,57,154,177,140,0,11,787
203031048,171,13,18,39,76,71,65,0,12,464
203031049,96,13,19,26,55,84,102,0,8,414
