POW_SA2_CODE_2021,P_OthSvs_H_0,P_OthSvs_H_1_19,P_OthSvs_H_20_29,P_OthSvs_H_30_34,P_OthSvs_H_35_39,P_OthSvs_H_40_44,P_OthSvs_H_45_49,P_OthSvs_H_50ov,P_OthSvs_H_NS,P_OthSvs_H_Tot,P_IDNS_H_0,P_IDNS_H_1_19,P_IDNS_H_20_29,P_IDNS_H_30_34,P_IDNS_H_35_39,P_IDNS_H_40_44,P_IDNS_H_45_49,P_IDNS_H_50ov,P_IDNS_H_NS,P_IDNS_H_Tot,P_Tot_H_0,P_Tot_H_1_19,P_Tot_H_20_29,P_Tot_H_30_34,P_Tot_H_35_39,P_Tot_H_40_44,P_Tot_H_45_49,P_Tot_H_50ov,P_Tot_H_NS,P_Tot_H_Tot
106041129,0,10,3,0,21,8,3,3,0,51,0,15,10,6,7,20,9,6,37,109,93,321,246,165,331,518,178,517,76,2442
107011131,67,36,20,10,33,38,6,16,3,229,19,28,13,7,16,28,3,7,34,150,593,1153,733,426,928,737,186,387,87,5228
107011132,16,3,3,0,15,9,0,5,0,49,3,9,13,4,3,6,0,3,9,57,105,177,200,136,256,296,54,180,23,1423
107011133,3,4,4,0,3,19,0,8,0,46,17,6,10,0,27,34,11,16,28,145,212,158,192,129,845,946,592,654,66,3793
107011134,52,60,38,34,122,151,43,86,6,585,30,53,46,32,148,160,32,57,80,652,800,1189,966,634,2305,2501,704,1334,161,10589
107011545,34,9,8,9,17,17,0,10,0,109,3,9,6,7,9,14,5,4,19,74,211,320,243,176,306,285,76,157,27,1799
107011546,52,38,34,9,56,57,8,30,0,284,22,37,20,15,54,57,16,15,38,268,687,999,824,550,1418,1548,597,797,94,7510
107011547,15,4,4,0,0,0,0,0,0,21,0,0,5,0,9,8,0,3,4,23,78,101,82,39,89,74,9,38,6,513
107021135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,3,0,4,5,3,8,0,43
107031136,49,18,12,3,4,3,6,6,0,98,7,16,8,4,9,11,0,6,21,90,300,660,446,253,490,413,112,302,59,3031
107031137,21,33,19,6,40,30,4,13,0,168,21,20,16,9,35,32,8,12,26,171,320,587,388,239,549,588,145,303,51,3172
107031138,12,31,24,16,27,23,5,8,0,146,12,14,15,16,10,14,6,3,18,96,254,832,503,273,538,538,125,248,47,3360
107031139,0,4,7,0,3,8,0,0,0,24,0,0,5,4,6,0,0,0,7,25,41,181,88,61,118,121,38,58,11,724
107031140,5,24,15,4,15,8,10,9,0,83,4,9,6,7,6,14,0,9,17,79,153,535,308,186,316,371,84,257,39,2246
107031141,58,24,16,5,7,10,0,6,0,120,5,22,13,8,18,17,0,6,21,116,399,651,429,248,567,580,163,347,55,3444
107031142,89,29,19,9,43,45,9,25,5,280,15,26,17,11,30,41,7,16,56,222,1189,1263,934,541,1461,1151,303,467,128,7437
107031143,41,22,10,12,38,23,9,14,4,164,13,27,20,3,20,16,0,10,25,127,446,751,567,388,694,602,163,287,64,3960
107041144,96,50,32,11,66,51,17,19,8,352,24,25,22,13,40,28,7,19,40,223,724,1317,809,440,1245,990,281,509,98,6419
107041145,66,20,11,4,15,24,4,19,0,167,10,26,11,8,20,13,5,13,22,126,394,782,541,314,662,610,130,291,55,3784
107041146,61,22,19,7,15,19,11,13,5,162,19,18,14,0,17,19,0,10,42,134,666,1353,942,392,1387,915,253,538,96,6554
107041147,36,27,13,4,15,15,3,9,4,130,8,10,8,4,3,10,0,0,11,61,239,411,266,151,332,293,120,207,27,2044
107041148,26,14,13,9,8,3,0,3,6,85,4,16,11,3,4,9,0,13,13,67,358,673,390,209,283,401,100,226,39,2676
107041150,83,34,14,9,20,20,6,12,0,205,17,14,18,7,19,17,3,9,26,130,524,893,588,411,736,687,181,357,49,4427
107041548,194,112,83,43,181,152,35,55,9,860,86,91,63,42,145,120,23,51,125,734,2682,2916,2583,1453,5590,3677,968,1561,256,21688
107041549,14,23,11,8,13,24,5,7,5,110,15,27,24,11,28,23,4,17,49,193,641,1019,1164,817,1478,1853,366,652,94,8082
108011151,0,7,4,3,4,3,0,3,0,26,5,18,3,9,12,10,0,4,12,77,69,253,173,130,205,218,69,208,43,1367
108011152,4,39,27,24,46,34,17,25,0,227,19,28,13,7,24,23,6,6,47,174,247,1030,806,528,930,728,228,384,123,5010
108011153,5,6,7,8,8,9,0,4,0,59,9,16,6,3,5,6,0,3,15,56,80,321,199,113,178,204,45,137,33,1306
108011154,3,18,20,16,23,19,4,11,5,110,3,16,23,11,16,9,3,5,39,127,97,379,361,257,459,350,114,226,81,2329
108021155,8,37,32,23,67,41,14,34,5,253,9,38,23,16,51,41,9,15,83,289,385,1039,988,737,1732,1268,334,700,186,7373
108021156,0,13,8,3,3,5,0,0,0,28,5,12,8,7,5,10,0,11,21,84,89,344,219,146,238,314,103,271,56,1770
108021157,3,13,10,3,34,16,11,7,0,105,9,9,16,8,15,16,0,0,25,106,97,376,346,225,490,392,114,183,56,2283
108021158,0,14,15,0,24,15,5,7,0,88,3,22,5,4,15,5,0,5,30,87,90,440,325,209,382,255,72,152,58,1976
108021159,3,6,5,0,0,4,0,3,0,28,3,12,7,3,11,6,0,11,14,78,41,268,191,132,206,180,54,233,37,1348
108021160,0,13,4,5,7,4,0,4,0,51,4,6,4,0,9,7,3,0,12,48,79,326,187,91,205,161,47,104,28,1232
108031161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,11,34,46,26,34,40,44,6,18,9,257
108041162,9,35,28,12,31,37,4,12,0,162,5,19,10,11,15,16,0,9,31,116,158,734,555,378,593,548,161,367,70,3567
108041164,16,83,57,34,159,132,54,53,0,593,15,64,32,20,94,79,15,32,95,442,628,2027,1658,1363,3133,2696,763,1349,190,13812
108041165,0,10,5,5,7,4,0,10,0,32,3,13,9,4,3,14,0,6,7,58,51,185,150,88,163,194,47,246,25,1139
108041166,10,19,21,19,55,51,16,30,4,225,6,17,6,7,28,27,11,25,29,147,138,608,436,361,799,726,228,520,67,3894
108041619,17,44,48,35,52,51,10,16,4,269,9,30,14,9,31,21,4,13,40,171,344,1390,850,582,1238,924,247,499,82,6162
108041620,6,28,16,21,11,15,0,8,5,104,3,20,8,13,15,14,0,6,29,122,183,665,478,484,871,642,146,296,67,3837
108051167,5,12,4,0,10,11,5,10,0,52,0,4,14,11,17,11,3,3,24,98,81,296,247,172,301,350,87,297,64,1889
108051168,5,15,18,3,8,6,0,6,0,61,8,15,13,13,7,9,0,6,15,90,86,379,245,147,240,282,72,204,44,1689
108051169,8,64,47,36,106,104,28,41,9,446,15,56,41,30,75,53,9,27,98,417,538,1636,1582,1200,2707,2065,568,1047,249,11598
108051170,4,11,12,5,8,11,6,4,0,47,4,10,3,3,14,6,0,7,16,75,65,339,254,133,206,277,80,372,53,1778
108051171,4,3,12,0,15,13,0,12,0,59,0,3,5,0,16,11,0,3,13,54,70,220,211,211,293,275,68,147,36,1530
109011172,0,22,16,11,44,63,18,24,0,209,9,23,16,12,60,48,17,24,49,261,305,734,763,639,1551,1493,492,792,97,6864
109011173,3,18,7,10,14,16,3,8,0,87,0,5,8,3,18,15,3,13,9,89,87,272,262,177,376,448,153,246,31,2053
109011174,18,85,73,49,115,75,36,51,9,505,14,58,55,30,82,76,20,49,92,472,632,2278,1843,1255,3183,2427,718,1283,218,13836
109011175,0,18,6,13,13,26,13,16,0,104,10,15,7,5,21,28,6,17,28,153,138,521,379,290,539,699,250,805,70,3682
109011176,6,31,39,14,43,63,13,36,0,241,3,25,14,13,33,46,7,21,37,212,181,830,617,429,937,891,289,557,78,4815
109021177,0,7,0,0,4,8,0,6,4,42,6,9,9,0,11,7,4,10,21,76,36,170,127,96,191,228,56,290,41,1233
109021178,6,12,11,9,10,13,0,15,0,65,9,11,8,4,24,13,3,10,30,108,108,294,236,174,511,454,109,361,56,2305
109021179,5,5,0,0,0,11,3,4,0,24,3,3,11,9,5,4,5,18,15,81,72,160,165,101,291,298,145,559,45,1833
109031180,3,8,9,8,12,26,7,13,0,92,5,9,6,5,24,32,3,16,19,101,111,365,316,200,510,589,125,292,40,2548
109031181,5,13,3,0,11,12,7,9,0,68,12,10,13,18,36,21,7,15,24,160,156,419,241,167,544,580,191,540,55,2898
109031182,5,11,16,4,24,33,12,17,0,119,7,13,16,7,25,23,5,3,29,125,134,473,379,254,676,543,192,358,65,3076
109031183,0,7,3,5,0,10,0,9,0,37,4,15,6,8,22,25,4,20,28,136,142,369,293,194,341,475,176,873,64,2924
