POA_CODE_2021,Median_age_persons,Median_mortgage_repay_monthly,Median_rent_weekly,Median_tot_hhd_inc_weekly
3154,40,1950,365,2018
3155,39,1870,376,1621
3156,40,2000,390,1948
3158,41,1950,390,2171
3159,41,2000,395,2298
3160,40,1852,376,2180
3161,37,2500,422,2205
3162,41,2798,483,2289
3163,36,2093,391,1926
3165,40,2500,500,2215
3166,37,2167,415,1980
3167,40,2200,418,1915
3168,28,2000,396,1508
3169,37,2000,385,1616
3170,40,2167,430,1913
3171,36,1750,357,1402
3172,41,1886,371,1715
3173,36,2167,421,1991
3174,36,1682,341,1394
3175,36,1675,321,1313
3177,34,1500,320,1262
3178,41,2055,441,2205
3179,40,2023,406,1965
3180,41,2000,421,1762
3181,34,2200,420,2085
3182,37,2000,381,1803
3183,34,2167,396,2022
3184,38,2300,415,2096
3185,38,2400,421,2153
3186,48,3467,600,2710
3187,45,3300,600,2544
3188,43,3000,471,2405
3189,39,2300,431,2031
3190,40,2300,430,2119
3191,47,2708,460,2313
3192,40,2200,430,1921
3193,48,3000,577,2546
3194,42,2167,392,1889
3195,42,2200,421,2201
3196,41,2080,396,1832
3197,44,2100,420,1853
3198,40,1850,351,1500
3199,40,1845,350,1522
3200,37,1408,315,1128
3201,36,1733,370,1658
3202,41,2224,471,2088
3204,39,2500,461,2233
3205,39,2200,421,2101
3206,46,3467,600,2659
3207,42,2500,540,2372
3211,42,2167,427,2005
3212,37,1733,370,1966
3213,39,1897,350,2141
3214,36,1265,270,1063
3215,41,1625,340,1452
3216,38,1733,360,1724
3217,30,1842,425,2204
3218,37,1950,330,1752
3219,42,1408,305,1228
3220,40,2100,360,1891
3221,43,2167,370,2481
3222,45,1700,375,1466
3223,59,1667,340,1139
3224,43,1625,370,1539
3225,61,2000,400,1508
3226,43,2000,420,1837
3227,47,2251,440,2228
3228,40,2167,500,2282
3230,54,2167,405,1701
3231,56,2167,350,1785
3232,56,2167,363,1525
3233,53,1703,300,1172
3234,51,1733,301,1325
3235,47,1690,200,1694
3236,52,1509,290,1091
3237,51,1000,195,900
3238,52,1257,160,1390
3239,49,1083,200,1187
3240,40,2119,330,2340
3241,43,1600,290,1516
3242,43,1517,300,1521
3243,48,1500,300,1474
3249,46,1476,250,1434
3250,42,1300,260,1250
3251,50,1300,220,1308
3254,33,1300,230,1485
3260,49,1153,230,1256
3264,49,1066,225,1162
3265,41,1343,200,1772
3266,47,1200,220,1298
3267,51,800,260,1600
3268,44,1200,239,1466
3269,42,1543,240,1614
3270,54,1400,275,1383
3271,49,867,160,1312
3272,48,945,215,1017
3273,53,1083,175,1687
3274,43,650,150,1125
3275,35,1540,230,2073
3276,43,1083,200,1566
3277,42,1500,250,1709
3278,43,1343,250,1803
3279,34,1517,233,2078
3280,42,1408,295,1401
3281,41,1650,300,2076
3282,42,1452,280,1507
3283,45,1517,263,1754
3284,51,1733,300,1465
3285,47,1430,220,1639
3286,51,845,150,1131
3287,41,1189,170,1758
3289,49,834,180,1120
3292,60,1235,230,1104
3293,48,433,200,1256
3294,47,1083,220,1349
3300,45,1083,236,1251
3301,48,1260,200,1697
3302,48,1092,170,1442
3303,45,1042,185,1607
3304,49,952,180,1146
3305,47,1170,250,1248
3309,49,520,120,1041
3310,58,698,100,789
3311,58,700,160,887
3312,49,800,120,1408
3314,45,1083,175,1656
3315,51,700,145,1068
3317,49,487,85,1550
3318,53,867,162,1011
3319,54,503,113,1333
3321,38,1949,300,2146
3322,52,917,250,857
3323,51,1000,200,1354
3324,49,650,150,977
3325,54,861,150,985
3328,37,1950,400,2171
3329,41,1315,300,1702
3330,41,867,215,1286
3331,36,1850,390,2059
3332,38,1733,350,1955
3333,45,1517,300,1657
3334,48,1559,200,1613
3335,31,1900,371,1876
3336,31,2150,421,2304
3337,34,1538,321,1462
3338,31,1712,341,1642
3340,37,1733,340,1806
3341,43,1777,360,2115
3342,43,1647,330,1612
3345,43,1733,320,2012
3350,39,1517,300,1503
3351,41,1500,280,1684
3352,40,1600,322,1858
3355,43,1254,260,1062
3356,39,1250,270,1112
3357,45,1733,305,1745
3358,29,1600,390,2013
3360,48,1127,280,1187
3361,51,867,190,964
3363,49,1300,275,1178
3364,47,1553,207,1458
3370,52,1127,220,1048
3371,56,964,190,900
3373,51,1213,231,1111
3374,52,1231,200,1474
3375,47,888,169,1458
3377,45,1083,250,1239
3378,38,800,135,1481
3379,52,677,150,1173
3380,47,973,210,1127
3381,48,1300,250,1472
3384,52,867,155,1125
3385,52,867,196,1259
3387,48,813,170,1169
3388,51,650,165,1115
3390,47,701,180,1026
3391,50,510,165,1350
3392,56,542,160,968
3393,50,750,180,1137
3395,54,570,80,1080
3396,56,650,150,1120
3400,40,1187,245,1294
3401,44,1387,200,1859
3407,50,659,100,1336
3409,50,780,180,1403
3412,50,566,100,837
3413,51,900,126,1562
3414,52,807,165,1082
3415,52,634,0,3125
3418,46,800,198,1334
3419,51,715,125,1121
3420,38,455,138,1916
3423,56,433,120,785
3424,55,500,100,1077
3427,33,1800,397,1991
3428,45,2100,348,1738
3429,38,1733,361,1924
3430,44,2334,345,1699
3431,42,2000,400,2150
3432,51,2000,550,1792
3433,41,2268,190,2222
3434,39,1950,371,2071
3435,42,1800,360,1887
3437,40,2167,421,2318
3438,41,1950,451,2279
3440,44,2213,371,2353
3441,48,2604,330,2647
3442,46,2000,391,2124
3444,47,1785,351,1663
3446,46,1300,350,1614
3447,52,1534,277,1468
3448,50,1584,263,1455
3450,52,1362,300,1110
3451,47,1517,305,1392
3453,49,1586,300,1594
3458,53,1600,350,1537
3460,55,1530,331,1183
3461,52,1517,305,1369
3462,53,1347,300,1146
3463,57,1300,268,1127
3464,45,1092,223,1205
3465,51,1070,240,911
3467,51,1056,210,923
3468,55,943,233,1051
3469,57,858,143,855
3472,56,808,192,777
3475,59,867,178,777
3477,54,867,180,1224
3478,53,867,185,927
3480,51,867,180,1147
3482,54,417,170,1166
3483,47,704,152,1278
3485,58,520,100,876
3487,47,382,100,1687
3488,53,867,53,1771
3489,41,403,0,1125
3490,53,712,163,1151
3491,47,109,173,1018
3494,40,1114,150,1147
3496,41,1083,235,1336
3498,40,1343,260,1606
3500,39,1300,280,1295
3501,40,1733,231,2055
3505,43,1129,220,1338
3506,35,1200,370,1041
3507,52,542,125,900
3509,52,403,150,1260
3512,47,693,110,1278
3515,33,1539,343,1947
3516,47,1133,208,1408
3517,52,867,185,935
3518,56,758,170,932
3520,57,425,134,612
3521,42,1482,290,1661
3522,50,1407,225,1307
3523,56,1300,255,993
3525,55,776,200,991
3527,57,654,150,1042
3529,36,500,110,1333
3530,58,542,55,1156
3531,46,433,150,1093
3533,51,650,140,941
3537,53,921,180,1134
3540,57,729,80,900
3542,52,433,168,916
3544,45,627,165,1262
3546,52,477,130,1312
3549,36,1050,214,1367
3550,40,1311,285,1367
3551,37,1625,360,2012
3555,42,1300,290,1238
3556,39,1300,280,1229
3557,41,1338,245,1680
3558,52,1083,220,972
3559,51,975,200,1272
3561,49,1152,213,1207
3562,43,1767,200,1774
3563,47,1100,200,1268
3564,45,1500,285,1371
3565,42,1300,170,1687
3566,48,1000,185,1062
3567,49,867,160,1044
3568,53,976,183,1155
3570,49,1200,230,1455
3571,47,1198,100,1375
3572,48,1509,250,1781
3573,42,690,100,1228
3575,46,777,160,1060
3576,47,217,115,1174
3579,50,1000,200,1050
3580,54,1105,200,973
3581,55,879,188,1321
3583,46,930,170,1399
3584,42,1083,200,1413
3585,38,1300,235,1394
3586,43,1300,250,1656
3588,42,867,175,1283
3589,37,975,250,1781
3590,42,1000,150,1390
3591,49,1135,135,1708
3594,46,867,210,1130
3595,45,650,188,979
3596,51,1192,220,1249
3597,40,650,130,1583
3599,53,840,162,1531
3607,46,1300,207,1416
3608,52,1437,290,1183
3610,49,1200,231,1122
3612,55,1000,195,904
3614,40,1517,250,1993
3616,44,1300,245,1381
3617,46,1454,230,1174
3618,47,1083,180,1030
3620,46,1268,220,1202
3621,41,1172,200,1262
3622,41,1408,150,1490
3623,50,884,198,1125
3624,42,1083,180,1093
3629,43,1179,250,1167
3630,38,1248,270,1287
3631,38,1603,350,1981
3633,41,1603,295,1676
3634,42,1300,230,1652
3635,48,1100,220,1416
3636,48,1148,210,1172
3637,38,1211,236,1431
3638,46,1127,194,1184
3639,57,975,177,937
3640,38,1203,240,1505
3641,42,1083,210,1339
3644,47,1300,250,1178
3646,49,1135,200,1385
3647,20,0,185,3374
3649,45,950,185,1261
3658,41,1517,310,1578
3659,50,1733,263,1775
3660,46,1300,250,1214
3662,24,1714,265,2510
