POA_CODE_2021,Median_age_persons,Median_mortgage_repay_monthly,Median_rent_weekly,Median_tot_hhd_inc_weekly
6152,38,2167,350,1919
6153,43,2700,450,2340
6154,42,2383,415,2059
6155,38,2000,420,2243
6156,40,2199,370,2135
6157,41,2101,350,1838
6158,44,2600,420,2288
6159,48,2600,480,2387
6160,41,2167,380,1822
6161,33,0,113,2042
6162,43,2200,350,1875
6163,41,1815,350,1638
6164,34,1950,395,2210
6165,52,833,330,1312
6166,42,2167,400,2119
6167,35,1562,300,1538
6168,46,1440,300,1176
6169,41,1582,310,1485
6170,31,1820,350,2012
6171,31,1900,360,2096
6172,36,1700,350,1921
6173,34,2000,380,2492
6174,30,1777,350,1891
6175,35,1950,370,2180
6176,30,1857,370,2122
6180,33,1779,350,1837
6181,45,2382,300,2643
6182,0,0,0,0
6207,40,2197,250,2191
6208,44,1733,310,1305
6209,51,1842,250,1122
6210,47,1681,300,1222
6211,45,1842,350,1436
6213,50,1950,270,1383
6214,42,2000,279,1875
6215,48,1625,260,1312
6218,44,1587,270,1093
6219,46,1900,300,1518
6220,44,1519,280,1465
6221,42,2000,293,1916
6223,44,1950,300,1624
6224,44,1398,250,1349
6225,45,1300,250,1240
6226,40,2240,320,2473
6227,38,1742,298,2086
6228,49,1517,250,1375
6229,61,1437,200,741
6230,41,1517,300,1469
6232,38,1647,350,1711
6233,38,1733,350,1888
6236,48,1799,290,1989
6237,46,1993,325,1929
6239,47,1591,300,1406
6240,57,2318,255,1312
6243,48,975,200,833
6244,48,1170,218,1286
6251,51,1400,285,1267
6252,54,1727,200,1270
6253,58,1408,255,951
6254,50,1083,200,1068
6255,51,1500,300,1208
6256,46,1842,231,1516
6258,45,1300,235,1275
6260,48,1400,280,1264
6262,54,1000,187,1044
6271,44,1517,330,1465
6275,56,1400,257,1102
6280,45,1733,350,1382
6281,43,1950,450,1770
6282,48,2350,400,2193
6284,39,1950,380,1910
6285,40,1713,380,1641
6286,42,1920,300,1658
6288,47,1733,258,1298
6290,61,1500,275,901
6302,56,1400,260,1126
6304,56,1159,200,1055
6306,50,1213,200,1318
6308,51,1083,200,1148
6309,51,806,200,1142
6311,50,1260,216,1277
6312,43,1170,240,1312
6313,49,1259,150,1328
6315,49,875,180,1206
6316,44,1033,150,1281
6317,39,1042,200,1350
6318,42,1000,170,1399
6320,41,715,164,1307
6321,44,719,174,1166
6322,49,1083,160,1187
6323,54,1194,230,1040
6324,47,1300,220,1191
6326,49,1444,240,1602
6327,46,1750,250,1481
6328,38,1000,164,1342
6330,45,1517,300,1349
6333,50,1517,300,1134
6335,38,867,200,1516
6336,38,395,135,1369
6337,36,867,160,1765
6338,46,1092,210,1336
6341,37,0,95,1766
6343,41,657,180,1833
6346,39,830,210,1801
6348,46,1088,250,1542
6350,48,515,150,1168
6351,38,0,50,1187
6352,40,607,150,1416
6353,39,1083,180,1715
6355,42,377,200,1792
6356,42,1000,190,1708
6357,46,847,163,2050
6358,36,260,80,1550
6359,43,1035,175,1398
6361,46,150,100,1224
6363,45,0,190,2333
6365,44,598,169,1583
6367,50,650,120,986
6368,35,0,60,1468
6369,49,793,155,1456
6370,45,1002,160,1297
6372,53,719,100,1031
6373,43,1580,0,2125
6375,47,867,183,1326
6383,55,779,130,1115
6384,47,9999,0,3124
6385,62,0,0,2749
6386,42,652,138,1875
6390,42,1695,280,1732
6391,41,1300,200,1760
6392,50,870,150,1367
6393,46,825,83,1036
6394,51,1083,180,1425
6395,43,1073,200,1452
6396,46,1285,155,1573
6397,49,542,160,900
6398,58,1070,210,794
6401,42,1300,250,1263
6403,52,986,225,1125
6405,40,1042,188,1273
6407,35,1213,200,1639
6409,46,563,161,1125
6410,52,800,160,958
6411,53,1701,190,2125
6412,46,0,150,1375
6413,54,1690,100,866
6414,49,1813,150,1812
6415,40,1066,220,1396
6418,49,737,160,1236
6419,47,1192,100,1166
6420,40,224,150,1542
6421,40,1174,120,1458
6422,32,1300,200,2125
6423,61,400,85,1145
6424,52,600,125,2624
6425,45,1084,150,1999
6426,47,800,150,1328
6427,43,0,0,0
6428,45,542,0,2374
6429,47,927,238,1208
6430,34,1703,310,2429
6431,33,986,63,1523
6432,35,1309,300,2001
6434,31,0,0,1499
6436,46,397,156,900
6437,30,520,46,2562
6438,37,714,163,1446
6440,37,413,80,966
6442,35,985,200,2129
6443,50,600,150,837
6445,48,661,104,966
6446,42,1000,140,1625
6447,36,2167,115,1875
6448,39,1149,290,1542
6450,42,1572,265,1515
6452,57,0,170,2250
6460,49,979,180,1069
6461,47,672,163,1161
6462,34,1200,118,1292
6463,35,3059,175,1687
6465,60,0,50,1187
6466,51,0,150,1437
6467,54,0,0,1874
6468,44,683,100,1604
6470,21,0,150,2749
6472,46,650,155,1656
6473,40,2583,0,1625
6475,52,748,129,1312
6476,55,750,400,1208
6477,47,675,110,1406
6479,45,758,155,1531
6480,50,1600,125,1125
6484,54,0,0,724
6485,54,557,150,866
6487,47,0,135,1375
6488,55,520,120,885
6489,59,1040,120,710
6490,49,1000,88,1087
6501,47,2000,360,1859
6502,49,1688,290,1379
6503,44,1733,268,1525
6504,52,1950,320,1224
6505,40,2000,243,1708
6506,55,120,150,1531
6507,44,1591,220,1903
6509,46,1750,140,1666
6510,43,1033,230,1459
6511,55,1427,300,1044
6512,51,850,250,1375
6513,44,433,170,1649
6514,61,1390,231,889
6515,44,650,150,1463
6516,52,1625,320,1187
6517,43,867,150,1350
6518,52,867,150,837
6519,42,650,120,1366
6521,47,750,200,1764
6522,47,729,150,1468
6525,53,1537,250,1168
6528,50,1554,235,1278
6530,40,1517,250,1483
6532,39,1800,320,2009
6535,55,1192,200,1068
6536,53,1600,258,1122
6537,43,1387,220,1197
6556,44,1950,375,1981
6558,37,1686,360,1895
6560,46,1400,250,1520
6562,45,1800,300,1547
6564,50,1500,220,1333
6566,54,1495,280,1190
6567,54,1650,275,1357
6568,52,563,130,1728
6569,43,500,180,1604
6571,45,0,168,1708
6572,41,542,170,1875
6574,42,0,200,1812
6575,48,1048,138,1166
6603,42,1083,180,1320
6605,45,0,160,1875
6606,51,433,145,949
6608,44,780,275,1562
6609,36,1083,235,1897
6612,43,1096,165,1812
6613,40,1083,0,2333
6614,59,0,0,1062
6616,53,394,0,1562
6620,41,834,170,1764
6623,43,500,190,1358
6625,39,0,250,1812
6627,37,1000,88,1812
6628,37,0,200,900
6630,43,650,150,1194
6631,62,0,0,3250
6632,40,0,0,1812
6635,33,223,139,1562
6638,42,542,175,1204
6639,60,1517,70,949
6640,54,725,100,682
6642,34,650,115,1243
6646,35,0,118,1109
6701,40,1300,209,1399
6705,37,826,75,1300
6707,37,2103,330,1983
6710,36,2065,240,2443
6712,41,0,0,0
6713,35,2383,480,3664
6714,32,1972,320,3188
6716,32,0,28,2028
6718,34,1500,150,1074
6720,32,1376,120,3290
6721,34,1812,210,3369
6722,32,1408,240,2595
6725,34,2167,260,2040
6726,34,2167,371,2181
6728,32,1638,100,1357
6740,34,1224,123,1165
6743,33,2000,242,1971
6751,33,1370,50,3029
6753,33,1083,110,2850
6754,35,1563,30,3215
6758,38,0,40,1321
6760,38,0,100,1035
6762,34,0,50,1083
6765,31,1625,100,1226
6770,29,1800,90,1066
7000,36,1852,400,1858
7004,39,1690,400,1820
7005,37,2167,420,1903
7007,40,1759,330,1892
7008,38,1710,350,1750
7009,35,1387,340,1427
7010,37,1300,320,1222
7011,38,1300,320,1295
7012,44,1328,305,1657
7015,45,1625,400,1595
7016,34,1083,320,1187
7017,40,1533,400,1885
7018,42,1600,360,1575
7019,32,1361,320,1306
7020,43,1725,400,2164
7021,42,1600,405,1877
7022,48,1517,350,1383
7023,56,1441,418,1302
7024,43,1733,395,2275
7025,50,1636,340,1576
7026,39,1324,300,1560
7027,44,1083,225,880
7030,35,1300,270,1295
7050,38,1625,380,1518
7052,42,1655,400,1806
7053,47,1785,425,1910
7054,40,1690,375,1895
7055,33,1647,415,1783
7109,43,1430,290,1397
7112,47,1215,285,1016
7113,52,1300,315,1205
7116,48,1141,280,1129
7117,55,1170,295,962
7119,37,650,0,1024
7120,52,895,188,1027
7139,49,0,0,1125
7140,42,1192,270,1197
7150,50,1426,273,1435
7155,51,1517,365,1412
7162,54,1777,350,1481
7163,51,1375,300,1397
7170,43,1950,400,2326
7171,39,1427,370,1522
7172,41,1517,350,1362
7173,43,1300,330,1383
7174,45,1159,225,1162
7175,48,1343,260,1300
7176,40,1300,0,1562
7177,47,1083,310,1267
7178,56,1083,295,766
7179,58,1417,270,919
7180,59,1116,210,782
7182,57,975,200,912
7183,60,1066,295,687
7184,56,997,230,795
7185,60,1500,250,1274
7186,58,1300,330,1024
7187,61,1183,115,1010
7190,59,1083,245,975
7209,57,867,200,903
7210,51,867,215,852
7211,47,813,200,1192
7212,50,1300,273,1320
7213,49,650,190,836
7214,53,691,173,775
7215,52,1083,250,931
7216,57,1083,245,847
7248,33,1100,260,1121
7249,38,1300,300,1349
7250,41,1300,285,1400
7252,49,1440,290,1619
7253,47,953,220,911
7254,47,1300,250,1283
7255,57,867,140,1095
7256,45,1083,190,1330
7257,51,0,85,725
7258,48,1933,250,2358
7259,46,1300,225,1433
7260,47,1083,210,1041
7261,53,650,240,846
7262,51,1300,250,1224
7263,47,867,203,1006
7264,54,703,180,778
7265,48,492,226,927
7267,46,1399,240,1687
7268,46,1270,250,1410
7270,55,1086,250,960
7275,50,1300,295,1304
7276,46,1221,235,1380
7277,44,1517,350,1649
7290,39,1356,250,1483
7291,39,1517,278,1701
7292,42,1250,200,1757
7300,41,1364,280,1504
7301,47,1300,260,1229
7302,40,1220,220,1247
7303,47,1213,250,1148
7304,49,1170,240,1074
7305,45,1000,250,1111
7306,50,1300,208,1182
7307,49,1318,260,1240
7310,43,1213,250,1194
7315,48,1220,246,1136
7316,46,1300,250,1362
7320,40,1090,240,1187
7321,46,1213,230,1341
7322,48,1192,240,1100
7325,47,1226,230,1152
7330,40,1083,220,1292
7331,51,1350,225,1351
7466,59,417,46,875
7467,47,574,150,851
7468,40,1083,195,1347
7469,50,606,160,949
7470,48,600,150,962
0800,33,1781,450,2151
0810,34,2058,345,2199
0812,37,1998,360,2046
0820,35,2037,400,2308
0822,30,2000,80,1347
0828,33,2600,370,2250
0829,31,1213,230,1412
0830,33,1950,370,2027
0832,30,2167,420,2352
0834,43,2500,460,2678
0835,43,2388,400,2560
0836,39,2300,400,2593
0837,43,2229,275,1419
0838,38,2167,300,2183
0839,31,1772,340,1426
0840,60,1300,200,806
0841,47,1900,268,1550
0845,45,1520,150,900
0846,52,1333,200,992
0847,36,1083,120,1125
0850,33,1625,330,2027
0852,28,1517,80,1331
0853,29,0,260,2865
0854,32,1117,33,1301
0860,33,1114,180,1677
0862,28,0,150,1375
0870,34,1741,390,2174
0872,29,498,75,1213
0873,40,2303,250,1783
0874,35,2167,340,2221
0875,33,1733,328,2032
0880,32,1733,95,2406
0885,34,1083,80,3333
0886,34,1400,65,2090
2600,45,2819,540,3016
2601,22,1950,550,2232
2602,36,2167,436,2337
2603,41,2500,481,2991
2604,37,2150,500,2434
2605,41,2650,490,2894
2606,34,1800,430,2156
2607,42,2383,440,2418
2609,47,2800,322,1116
2611,36,2167,450,2482
2612,30,1987,490,2371
2614,39,2102,418,2250
2615,36,2000,420,2262
2617,32,1950,440,2177
2618,44,2899,449,2878
2900,36,1625,450,1860
2902,41,2000,400,2207
2903,39,2100,400,2311
2904,41,2167,462,2577
2905,37,2000,430,2311
2906,37,2000,410,2410
2911,34,2400,460,2807
2912,31,1801,450,2208
2913,34,2000,460,2429
2914,31,2167,480,2841
2899,50,1300,240,1184
6798,38,1300,150,2109
6799,40,1972,231,2519
9494,0,0,0,0
9797,40,1733,0,2250
